pathogen_type,canonical_organism,canonical_drug,quality_gate,gate_reason,n_master_rows,n_interpretable_rows
bacterial,Streptococcus pneumoniae,cefaclor,pass,interpretable_classification_majority,3407,3406
bacterial,Streptococcus pneumoniae,cefdinir,bounds_only,majority_non_interpretable_basis,2061,0
bacterial,Streptococcus pneumoniae,cefixime,bounds_only,majority_non_interpretable_basis,2061,0
bacterial,Streptococcus pneumoniae,cefotaxime,pass,interpretable_classification_majority,993,993
bacterial,Streptococcus pneumoniae,cefpodoxime,pass,interpretable_classification_majority,2061,2061
bacterial,Streptococcus pneumoniae,ceftibuten,bounds_only,majority_non_interpretable_basis,993,0
bacterial,Streptococcus pneumoniae,ceftriaxone,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,cefuroxime,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,clarithromycin,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,doxycycline,pass,interpretable_classification_majority,993,993
bacterial,Streptococcus pneumoniae,erythromycin,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,levofloxacin,pass,interpretable_classification_majority,3407,3401
bacterial,Streptococcus pneumoniae,moxifloxacin,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,penicillin,pass,interpretable_classification_majority,3407,3407
bacterial,Streptococcus pneumoniae,tetracycline,pass,interpretable_classification_majority,993,993
bacterial,Streptococcus pneumoniae,trimethoprim/sulfamethoxazole,pass,interpretable_classification_majority,3407,3398
fungal,Acremonium strictum genogroup III,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Acremonium strictum genogroup III,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Acremonium strictum genogroup III,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Acremonium strictum genogroup III,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Acremonium strictum genogroup III,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Acremonium strictum genogroup III,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Acremonium strictum genogroup III,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Acremonium strictum genogroup III,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Alternaria alternata,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Alternaria alternata,Anidulafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Alternaria alternata,Caspofungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Alternaria alternata,Isavuconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Alternaria alternata,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Alternaria alternata,Micafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Alternaria alternata,Voriconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Apiotrichum mycotoxinivorans,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Apiotrichum mycotoxinivorans,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Apiotrichum mycotoxinivorans,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Apiotrichum mycotoxinivorans,Fluconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Apiotrichum mycotoxinivorans,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Apiotrichum mycotoxinivorans,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Apiotrichum mycotoxinivorans,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Apiotrichum mycotoxinivorans,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Apiotrichum mycotoxinivorans,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus aculeatus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus aculeatus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus aculeatus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus aculeatus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus aculeatus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus aculeatus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus aculeatus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus alabamensis,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus alabamensis,Anidulafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus alabamensis,Caspofungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus alabamensis,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus alabamensis,Isavuconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus alabamensis,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus alabamensis,Micafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus alabamensis,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus alabamensis,Voriconazole,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus brasiliensis,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus brasiliensis,Anidulafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus brasiliensis,Caspofungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus brasiliensis,Isavuconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus brasiliensis,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus brasiliensis,Micafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus brasiliensis,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus brasiliensis,Voriconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus caelatus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus caelatus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus caelatus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus caelatus,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus caelatus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus caelatus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus caelatus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus caelatus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus clavatus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus clavatus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus clavatus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus clavatus,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus clavatus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus clavatus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus clavatus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus clavatus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus flavus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,0
fungal,Aspergillus flavus,Anidulafungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus flavus,Caspofungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus flavus,Isavuconazole,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus flavus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,11
fungal,Aspergillus flavus,Micafungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus flavus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,11
fungal,Aspergillus flavus,Voriconazole,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus flavus species complex,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,319,0
fungal,Aspergillus flavus species complex,Anidulafungin,withhold,majority_unclassifiable_no_standard,320,0
fungal,Aspergillus flavus species complex,Caspofungin,withhold,majority_unclassifiable_no_standard,320,0
fungal,Aspergillus flavus species complex,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,54,0
fungal,Aspergillus flavus species complex,Isavuconazole,withhold,majority_unclassifiable_no_standard,209,0
fungal,Aspergillus flavus species complex,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,319,319
fungal,Aspergillus flavus species complex,Micafungin,withhold,majority_unclassifiable_no_standard,320,0
fungal,Aspergillus flavus species complex,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,320,320
fungal,Aspergillus flavus species complex,Voriconazole,withhold,majority_unclassifiable_no_standard,320,0
fungal,Aspergillus foetidus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus foetidus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus foetidus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus foetidus,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus foetidus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus foetidus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus foetidus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus foetidus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus fumigatus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,2085,2085
fungal,Aspergillus fumigatus,Anidulafungin,withhold,majority_unclassifiable_no_standard,2084,0
fungal,Aspergillus fumigatus,Caspofungin,withhold,majority_unclassifiable_no_standard,2084,0
fungal,Aspergillus fumigatus,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,307,0
fungal,Aspergillus fumigatus,Isavuconazole,pass,interpretable_classification_majority,1356,1356
fungal,Aspergillus fumigatus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2084,2084
fungal,Aspergillus fumigatus,Micafungin,withhold,majority_unclassifiable_no_standard,2085,0
fungal,Aspergillus fumigatus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2083,2083
fungal,Aspergillus fumigatus,Voriconazole,pass,interpretable_classification_majority,2084,2084
fungal,Aspergillus fumisynnematus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus fumisynnematus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus fumisynnematus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus fumisynnematus,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus fumisynnematus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus fumisynnematus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus fumisynnematus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus fumisynnematus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hiratsukae,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus hiratsukae,Anidulafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus hiratsukae,Caspofungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus hiratsukae,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hiratsukae,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus hiratsukae,Micafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus hiratsukae,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus hiratsukae,Voriconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus hortai,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus hortai,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hortai,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hortai,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hortai,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus hortai,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus hortai,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus hortai,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus lentulus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,0
fungal,Aspergillus lentulus,Anidulafungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus lentulus,Caspofungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus lentulus,Isavuconazole,withhold,majority_unclassifiable_no_standard,8,0
fungal,Aspergillus lentulus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,0
fungal,Aspergillus lentulus,Micafungin,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus lentulus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,11,0
fungal,Aspergillus lentulus,Voriconazole,withhold,majority_unclassifiable_no_standard,11,0
fungal,Aspergillus melleus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus melleus,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus melleus,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus melleus,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus melleus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus melleus,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus melleus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus melleus,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus nidulans,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,49,0
fungal,Aspergillus nidulans,Anidulafungin,withhold,majority_unclassifiable_no_standard,49,0
fungal,Aspergillus nidulans,Caspofungin,withhold,majority_unclassifiable_no_standard,48,0
fungal,Aspergillus nidulans,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,8,0
fungal,Aspergillus nidulans,Isavuconazole,withhold,majority_unclassifiable_no_standard,31,0
fungal,Aspergillus nidulans,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,49,0
fungal,Aspergillus nidulans,Micafungin,withhold,majority_unclassifiable_no_standard,49,0
fungal,Aspergillus nidulans,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,49,0
fungal,Aspergillus nidulans,Voriconazole,withhold,majority_unclassifiable_no_standard,49,0
fungal,Aspergillus nidulans species complex,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,20,0
fungal,Aspergillus nidulans species complex,Anidulafungin,withhold,majority_unclassifiable_no_standard,20,0
fungal,Aspergillus nidulans species complex,Caspofungin,withhold,majority_unclassifiable_no_standard,20,0
fungal,Aspergillus nidulans species complex,Isavuconazole,withhold,majority_unclassifiable_no_standard,18,0
fungal,Aspergillus nidulans species complex,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,20,0
fungal,Aspergillus nidulans species complex,Micafungin,withhold,majority_unclassifiable_no_standard,20,0
fungal,Aspergillus nidulans species complex,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,20,0
fungal,Aspergillus nidulans species complex,Voriconazole,withhold,majority_unclassifiable_no_standard,20,0
fungal,Aspergillus niger,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,143,0
fungal,Aspergillus niger,Anidulafungin,withhold,majority_unclassifiable_no_standard,143,0
fungal,Aspergillus niger,Caspofungin,withhold,majority_unclassifiable_no_standard,143,0
fungal,Aspergillus niger,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,15,0
fungal,Aspergillus niger,Isavuconazole,withhold,majority_unclassifiable_no_standard,105,0
fungal,Aspergillus niger,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,141,141
fungal,Aspergillus niger,Micafungin,withhold,majority_unclassifiable_no_standard,143,0
fungal,Aspergillus niger,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,142,142
fungal,Aspergillus niger,Voriconazole,withhold,majority_unclassifiable_no_standard,142,0
fungal,Aspergillus niger species complex,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,216,0
fungal,Aspergillus niger species complex,Anidulafungin,withhold,majority_unclassifiable_no_standard,216,0
fungal,Aspergillus niger species complex,Caspofungin,withhold,majority_unclassifiable_no_standard,215,0
fungal,Aspergillus niger species complex,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,33,0
fungal,Aspergillus niger species complex,Isavuconazole,withhold,majority_unclassifiable_no_standard,150,0
fungal,Aspergillus niger species complex,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,216,216
fungal,Aspergillus niger species complex,Micafungin,withhold,majority_unclassifiable_no_standard,216,0
fungal,Aspergillus niger species complex,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,216,216
fungal,Aspergillus niger species complex,Voriconazole,withhold,majority_unclassifiable_no_standard,216,0
fungal,Aspergillus nomius,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,3,0
fungal,Aspergillus nomius,Anidulafungin,withhold,majority_unclassifiable_no_standard,3,0
fungal,Aspergillus nomius,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus nomius,Flucytosine,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus nomius,Isavuconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus nomius,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,3,0
fungal,Aspergillus nomius,Micafungin,withhold,majority_unclassifiable_no_standard,3,0
fungal,Aspergillus nomius,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,3,0
fungal,Aspergillus nomius,Voriconazole,withhold,majority_unclassifiable_no_standard,3,0
fungal,Aspergillus ochraceus species complex,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus ochraceus species complex,Anidulafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus ochraceus species complex,Caspofungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus ochraceus species complex,Isavuconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus ochraceus species complex,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus ochraceus species complex,Micafungin,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus ochraceus species complex,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,2,0
fungal,Aspergillus ochraceus species complex,Voriconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus parasiticus,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus parasiticus,Anidulafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus parasiticus,Caspofungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus parasiticus,Isavuconazole,withhold,majority_unclassifiable_no_standard,2,0
fungal,Aspergillus parasiticus,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus parasiticus,Micafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus parasiticus,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus parasiticus,Voriconazole,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus piperis,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus piperis,Anidulafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus piperis,Caspofungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus piperis,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus piperis,Micafungin,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus piperis,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,1,0
fungal,Aspergillus piperis,Voriconazole,withhold,majority_unclassifiable_no_standard,1,0
fungal,Aspergillus sclerotiorum,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus sclerotiorum,Anidulafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus sclerotiorum,Caspofungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus sclerotiorum,Isavuconazole,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus sclerotiorum,Itraconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus sclerotiorum,Micafungin,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus sclerotiorum,Posaconazole,bounds_only,breakpoint_absent_drug_brief_section_4_4,4,0
fungal,Aspergillus sclerotiorum,Voriconazole,withhold,majority_unclassifiable_no_standard,4,0
fungal,Aspergillus sydowii,Amphotericin B,bounds_only,breakpoint_absent_drug_brief_section_4_4,10,0
fungal,Aspergillus sydowii,Anidulafungin,withhold,majority_unclassifiable_no_standard,10,0
