iso3_country,burden_midpoint_weighted,mean_evolutionary_fitness_slope,health_expenditure_pct_gdp,hospital_beds_per_1000,antimicrobial_consumption_ddd,n_surveillance_years,consumption_included,consumption_data_gap,life_expectancy,burden_risk_percentile,trajectory_risk_percentile,health_capacity_risk_percentile,consumption_risk_percentile,n_risk_components_core,composite_risk_score_core,composite_risk_score_with_consumption,n_risk_components_available,composite_risk_score,risk_rank_core,risk_rank,pathogen_type,methodology,vaccination_excluded_note,version,date_added,quality_gate,gate_reason,risk_rank_ungated,composite_risk_score_ungated,composite_risk_score_core_ungated
ROU,0.3347091036622951,-0.0831831020823622,4.961136696434042,6.7753106382978725,18.8892905,2,True,,75.20975609756098,90.0,55.55555555555556,40.15151515151515,42.85714285714285,3,61.9023569023569,57.14105339105339,4,61.9023569023569,11,10.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,11,61.9023569023569,61.9023569023569
SRB,0.3532428924787004,,8.539480741851529,5.506489082969432,,2,False,no_esac_net_match_for_country_year,75.28780487804879,96.66666666666669,,26.51515151515152,,2,61.59090909090909,,2,61.59090909090909,12,11.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,12,61.59090909090909,61.59090909090909
GRC,0.2300700502193791,-0.6207138424343511,8.171823097242077,4.246264329062711,32.55859466666667,3,True,,81.3878048780488,60.0,81.48148148148148,32.72727272727273,100.0,3,58.06958473625139,68.55218855218854,4,58.06958473625139,13,12.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,13,58.06958473625139,58.06958473625139
HRV,0.198970190870415,-0.6732628006729974,6.640656959204036,5.655156950672645,19.28625166666667,3,True,,77.92195121951221,50.0,85.18518518518519,37.57575757575758,57.14285714285714,3,57.58698092031426,57.47594997594998,4,57.58698092031426,14,13.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,14,57.58698092031426,57.58698092031426
KWT,0.2585836909871244,0.1865768626297724,5.050462725021459,,,7,False,no_esac_net_match_for_country_year,78.73658536585367,76.66666666666667,29.629629629629623,63.33333333333333,,3,56.54320987654321,,3,56.54320987654321,15,14.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,15,56.54320987654321,56.54320987654321
CHL,0.2059538274605103,-0.310893494060693,8.67253962561361,2.105941676792223,,3,False,no_esac_net_match_for_country_year,80.61,53.333333333333336,70.37037037037037,45.3030303030303,,3,56.33557800224467,,3,56.33557800224467,16,15.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,16,56.33557800224467,56.33557800224467
MAR,0.1305970149253731,-0.5353445605456043,5.052129708059701,,,2,False,no_esac_net_match_for_country_year,73.608,33.33333333333333,74.07407407407408,60.0,,3,55.80246913580246,,3,55.80246913580246,17,16.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,17,55.80246913580246,55.80246913580246
TUN,0.2678124701613673,0.1933446081234574,6.640581303087941,2.0813577771412204,,6,False,no_esac_net_match_for_country_year,72.893,80.0,22.22222222222222,64.24242424242425,,3,55.488215488215495,,3,55.488215488215495,18,17.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,18,55.488215488215495,55.488215488215495
PHL,0.0768261964735515,-0.1574292283198828,3.956475017229219,1.0153904282115869,,2,False,no_esac_net_match_for_country_year,69.966,6.666666666666667,62.96296296296296,93.33333333333334,,3,54.320987654320994,,3,54.320987654320994,19,18.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,19,54.320987654320994,54.320987654320994
TUR,0.1807247370827617,0.075500172776617,4.446746632774577,2.8144252400548697,,7,False,no_esac_net_match_for_country_year,75.722,43.333333333333336,44.44444444444444,67.87878787878788,,3,51.88552188552188,,3,51.88552188552188,20,19.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,20,51.88552188552188,51.88552188552188
CRI,0.1102941176470588,,7.0972325233823526,1.151911764705882,,2,False,no_esac_net_match_for_country_year,79.994,23.33333333333333,,66.06060606060606,,2,44.696969696969695,,2,44.696969696969695,21,20.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,21,44.696969696969695,44.696969696969695
NGA,0.1249999999999999,1.2549078074201063,3.72265303,,,2,False,no_esac_net_match_for_country_year,52.397,26.666666666666668,3.7037037037037033,90.0,,3,40.123456790123456,,3,40.123456790123456,22,21.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,22,40.123456790123456,40.123456790123456
CZE,0.1026427439168234,-0.1477725046429522,7.306575648049363,6.73,,2,False,no_esac_net_match_for_country_year,78.5780487804878,13.333333333333334,59.25925925925925,28.030303030303028,,3,33.54096520763187,,3,33.54096520763187,23,22.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,23,33.54096520763187,33.54096520763187
ARG,0.2301047120418848,0.3755403529382886,10.14296714747644,4.960193717277488,,3,False,no_esac_net_match_for_country_year,76.543,63.33333333333333,7.4074074074074066,23.78787878787879,,3,31.50953984287317,,3,31.50953984287317,24,23.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,24,31.50953984287317,31.50953984287317
ESP,0.0948685460880582,-0.0793403220448402,10.233893355676274,2.93740576496674,25.4200135,4,True,,83.1780487804878,10.0,51.85185185185185,28.939393939393938,85.71428571428571,3,30.26374859708193,44.12638287638288,4,30.26374859708193,25,24.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,25,30.26374859708193,30.26374859708193
RUS,0.1629714195414525,0.2020173102249189,5.289108699178551,7.545972618368509,,3,False,no_esac_net_match_for_country_year,71.65121951219513,40.0,18.51851851851852,30.60606060606061,,3,29.70819304152637,,3,29.70819304152637,26,25.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,26,29.70819304152637,29.70819304152637
LBN,0.0674603174603174,0.0833333333332655,7.860658377142856,2.73,,2,False,no_esac_net_match_for_country_year,78.192,3.333333333333333,40.74074074074074,43.48484848484848,,3,29.18630751964085,,3,29.18630751964085,27,26.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,27,29.18630751964085,29.18630751964085
UKR,0.1068158912272007,0.1171749401586472,7.60544408279819,6.745047884380985,,8,False,no_esac_net_match_for_country_year,71.631,16.666666666666664,33.33333333333333,22.424242424242426,,3,24.141414141414145,,3,24.141414141414145,28,27.0,bacterial,"Primary rank (composite_risk_score_core): equal-weight mean of burden, trajectory, and health-system capacity percentiles (same three components for all countries). Supplementary composite_risk_score_with_consumption adds ESAC-Net J01 antibiotic DDD percentile for matched European bacterial countries only. Vaccination excluded — not named in the brief's Output 4 (line 109). Legacy composite_risk_score aliases composite_risk_score_core for dashboard compatibility. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",Vaccination deliberately omitted — not named in brief Section 7 Output 4 (line 109).,v1,2026-07-20,pass,interpretable_burden_majority,28,24.141414141414145,24.141414141414145
