iso3_country,burden_midpoint_weighted,mean_evolutionary_fitness_slope,health_expenditure_pct_gdp,n_surveillance_years,consumption_included,consumption_data_gap,burden_risk_percentile,trajectory_risk_percentile,health_capacity_risk_percentile,consumption_risk_percentile,n_risk_components_available,composite_risk_score,risk_rank,pathogen_type,methodology,vaccination_excluded_note,version,date_added
NGA,0.18214285714285708,1.2549078074201063,3.72265303,2,False,no_numeric_esac_net_series_locally,43.333333333333336,3.7037037037037033,90.0,,3,45.67901234567901,21,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
RUS,0.17119819419430057,0.20201731022491895,5.289108699178551,3,False,no_numeric_esac_net_series_locally,40.0,18.51851851851852,56.666666666666664,,3,38.39506172839506,22,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
CZE,0.11260685032328338,-0.1477725046429522,7.306575648049363,2,False,no_numeric_esac_net_series_locally,16.666666666666664,59.25925925925925,33.33333333333333,,3,36.41975308641975,23,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
CRI,0.13574094526764532,,7.0972325233823526,2,False,no_numeric_esac_net_series_locally,26.666666666666668,,36.666666666666664,,2,31.666666666666664,24,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
UKR,0.11455683469138098,0.11717494015864723,7.60544408279819,8,False,no_numeric_esac_net_series_locally,20.0,33.33333333333333,26.666666666666668,,3,26.666666666666668,25,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
BGR,0.14607306676664042,0.26945933363327257,7.4381878049559,3,False,no_numeric_esac_net_series_locally,30.0,14.814814814814813,30.0,,3,24.93827160493827,26,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
LBN,0.0917954643940488,0.0833333333332655,7.860658377142856,2,False,no_numeric_esac_net_series_locally,3.3333333333333335,40.74074074074074,23.333333333333332,,3,22.469135802469136,27,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
ESP,0.09632246611532432,-0.07934032204484023,10.233893355676274,4,False,no_numeric_esac_net_series_locally,6.666666666666667,51.85185185185185,3.3333333333333335,,3,20.61728395061728,28,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
ARG,0.1354948484828455,0.3103279160704919,10.095350190866995,3,False,no_numeric_esac_net_series_locally,23.333333333333332,11.11111111111111,6.666666666666667,,3,13.703703703703702,29,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
ITA,0.11098805652683129,0.31653695272201016,9.245146451606399,4,False,no_numeric_esac_net_series_locally,13.333333333333334,7.4074074074074066,10.0,,3,10.246913580246913,30,bacterial,"Equal-weight mean of within-pathogen-type percentile ranks (OECD/JRC composite indicator precedent — rank-based normalization, equal weights among available components). Components per Justice Section 7 Output 4: burden (higher= worse), evolutionary trajectory (more negative fitness slope = worse), health-system capacity (lower health expenditure % GDP = worse). Consumption excluded — no numeric ESAC-Net series locally. Vaccination excluded — not named in Justice Output 4 (line 109), unlike Stage 5 regression.",Vaccination deliberately omitted — not named in Justice Section 7 Output 4 (line 109).,v1,2026-07-08
