species,drug,n_classified,n_clsi_breakpoint,n_ecv_wt,n_ecv_nwt,n_unclassifiable,ecv_used,version,date_added
Aspergillus ustus species complex,Amphotericin B,12,0,0,0,12,,v1,2026-07-06
Aspergillus versicolor,Amphotericin B,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Candida albicans,Amphotericin B,9781,0,9781,0,0,2,v1,2026-07-06
Candida auris,Amphotericin B,122,122,0,0,0,,v1,2026-07-06
Candida blankii,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Amphotericin B,13,0,0,0,13,,v1,2026-07-06
Candida cacao,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Candida digboiensis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Amphotericin B,527,0,0,0,527,,v1,2026-07-06
Candida duobushaemulonii,Amphotericin B,5,0,0,0,5,,v1,2026-07-06
Candida fabianii,Amphotericin B,31,0,0,0,31,,v1,2026-07-06
Candida fermentati,Amphotericin B,47,0,0,0,47,,v1,2026-07-06
Candida fluviatilis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Amphotericin B,4314,0,0,0,4314,,v1,2026-07-06
Candida guilliermondii,Amphotericin B,149,0,0,0,149,,v1,2026-07-06
Candida haemulonii,Amphotericin B,16,0,0,0,16,,v1,2026-07-06
Candida inconspicua,Amphotericin B,20,0,0,0,20,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Candida kefyr,Amphotericin B,181,0,0,0,181,,v1,2026-07-06
Candida krusei,Amphotericin B,647,0,0,0,647,,v1,2026-07-06
Candida lipolytica,Amphotericin B,18,0,0,0,18,,v1,2026-07-06
Candida lusitaniae,Amphotericin B,416,0,0,0,416,,v1,2026-07-06
Candida margitis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Amphotericin B,81,0,0,0,81,,v1,2026-07-06
Candida nivariensis,Amphotericin B,15,0,0,0,15,,v1,2026-07-06
Candida norvegensis,Amphotericin B,8,0,0,0,8,,v1,2026-07-06
Candida orthopsilosis,Amphotericin B,174,0,0,0,174,,v1,2026-07-06
Candida palmioleophila,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Amphotericin B,3423,0,0,0,3423,,v1,2026-07-06
Candida pararugosa,Amphotericin B,13,0,0,0,13,,v1,2026-07-06
Candida pelliculosa,Amphotericin B,51,0,0,0,51,,v1,2026-07-06
Candida pseudohaemulonii,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Candida rugosa,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Candida sojae,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Candida theae,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Amphotericin B,2138,0,0,0,2138,,v1,2026-07-06
Candida utilis,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Coprinellus radians,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Amphotericin B,14,0,0,0,14,,v1,2026-07-06
Cryptococcus gattii species complex,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Amphotericin B,100,0,0,0,100,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Amphotericin B,430,0,0,0,430,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Amphotericin B,52,0,0,0,52,,v1,2026-07-06
Cunninghamella bertholletiae,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Epicoccum nigrum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Amphotericin B,20,0,0,0,20,,v1,2026-07-06
Exophiala phaeomuriformis,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Fonsecaea pedrosoi,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Fusarium musae,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Amphotericin B,25,0,0,0,25,,v1,2026-07-06
Fusarium petroliphilum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Fusarium solani species complex,Amphotericin B,65,0,0,0,65,,v1,2026-07-06
Geotrichum clavatum,Amphotericin B,35,0,0,0,35,,v1,2026-07-06
Geotrichum silvicola,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Gibberella fujikuroi species complex,Amphotericin B,37,0,0,0,37,,v1,2026-07-06
Kluyveromyces marxianus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Lichtheimia corymbifera,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Lichtheimia ramosa,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Lodderomyces elongisporus,Amphotericin B,7,0,0,0,7,,v1,2026-07-06
Lomentospora prolificans,Amphotericin B,30,0,0,0,30,,v1,2026-07-06
Magnusiomyces capitatus,Amphotericin B,26,0,0,0,26,,v1,2026-07-06
Malassezia pachydermatis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Medicopsis romeroi,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Amphotericin B,15,0,0,0,15,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Amphotericin B,19,0,0,0,19,,v1,2026-07-06
Paecilomyces variotii,Amphotericin B,14,0,0,0,14,,v1,2026-07-06
Penicillium chrysogenum,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Penicillium roqueforti group,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Amphotericin B,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Amphotericin B,4,0,0,0,4,,v1,2026-07-06
Pichia onychis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Pleurostomophora richardsiae,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Pseudopithomyces sacchari,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Amphotericin B,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Rasamsonia argillacea species complex,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Rhizomucor miehei,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Rhizopus microsporus,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Amphotericin B,41,0,0,0,41,,v1,2026-07-06
Rhizopus oryzae,Amphotericin B,20,0,0,0,20,,v1,2026-07-06
Rhizopus oryzae species complex,Amphotericin B,10,0,0,0,10,,v1,2026-07-06
Rhodotorula mucilaginosa,Amphotericin B,52,0,0,0,52,,v1,2026-07-06
Saccharomyces cerevisiae,Amphotericin B,92,0,0,0,92,,v1,2026-07-06
Sarocladium kiliense,Amphotericin B,20,0,0,0,20,,v1,2026-07-06
Scedosporium apiospermum,Amphotericin B,15,0,0,0,15,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Amphotericin B,61,0,0,0,61,,v1,2026-07-06
Scedosporium aurantiacum,Amphotericin B,19,0,0,0,19,,v1,2026-07-06
Scedosporium boydii,Amphotericin B,10,0,0,0,10,,v1,2026-07-06
Scedosporium dehoogii,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Trichoderma longibrachiatum,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Trichomonascus ciferrii complex,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Amphotericin B,94,0,0,0,94,,v1,2026-07-06
Trichosporon capitatum,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Trichosporon ovoides,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Amphotericin B,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Amphotericin B,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Amphotericin B,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Amphotericin B,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Amphotericin B,3,0,0,0,3,,v1,2026-07-06
Wangiella dermatitidis,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Amphotericin B,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Amphotericin B,8,0,0,0,8,,v1,2026-07-06
Acremonium strictum genogroup III,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Anidulafungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Anidulafungin,320,0,0,0,320,,v1,2026-07-06
Aspergillus foetidus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Anidulafungin,2084,0,0,0,2084,,v1,2026-07-06
Aspergillus fumisynnematus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Anidulafungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Anidulafungin,49,0,0,0,49,,v1,2026-07-06
Aspergillus nidulans species complex,Anidulafungin,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Anidulafungin,143,0,0,0,143,,v1,2026-07-06
Aspergillus niger species complex,Anidulafungin,216,0,0,0,216,,v1,2026-07-06
Aspergillus nomius,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus ochraceus species complex,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Anidulafungin,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Anidulafungin,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Anidulafungin,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Anidulafungin,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Anidulafungin,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Anidulafungin,7,0,0,0,7,,v1,2026-07-06
Aspergillus ustus species complex,Anidulafungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus versicolor,Anidulafungin,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Candida albicans,Anidulafungin,9784,9784,0,0,0,,v1,2026-07-06
Candida auris,Anidulafungin,122,122,0,0,0,,v1,2026-07-06
Candida blankii,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Anidulafungin,13,0,0,0,13,,v1,2026-07-06
Candida cacao,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Candida digboiensis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Anidulafungin,527,0,0,0,527,,v1,2026-07-06
Candida duobushaemulonii,Anidulafungin,5,0,0,0,5,,v1,2026-07-06
Candida fabianii,Anidulafungin,31,0,0,0,31,,v1,2026-07-06
Candida fermentati,Anidulafungin,47,0,0,0,47,,v1,2026-07-06
Candida fluviatilis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Anidulafungin,4314,4314,0,0,0,,v1,2026-07-06
Candida guilliermondii,Anidulafungin,149,149,0,0,0,,v1,2026-07-06
Candida haemulonii,Anidulafungin,16,0,0,0,16,,v1,2026-07-06
Candida inconspicua,Anidulafungin,20,0,0,0,20,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Candida kefyr,Anidulafungin,181,0,0,0,181,,v1,2026-07-06
Candida krusei,Anidulafungin,647,647,0,0,0,,v1,2026-07-06
Candida lipolytica,Anidulafungin,18,0,0,0,18,,v1,2026-07-06
Candida lusitaniae,Anidulafungin,416,0,0,0,416,,v1,2026-07-06
Candida margitis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Anidulafungin,81,0,0,0,81,,v1,2026-07-06
Candida nivariensis,Anidulafungin,14,0,0,0,14,,v1,2026-07-06
Candida norvegensis,Anidulafungin,8,0,0,0,8,,v1,2026-07-06
Candida orthopsilosis,Anidulafungin,174,0,0,0,174,,v1,2026-07-06
Candida palmioleophila,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Anidulafungin,3424,3424,0,0,0,,v1,2026-07-06
Candida pararugosa,Anidulafungin,13,0,0,0,13,,v1,2026-07-06
Candida pelliculosa,Anidulafungin,48,0,0,0,48,,v1,2026-07-06
Candida pseudohaemulonii,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Candida rugosa,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Candida sojae,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Candida theae,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Anidulafungin,2139,2139,0,0,0,,v1,2026-07-06
Candida utilis,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Coprinellus radians,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Anidulafungin,14,0,0,0,14,,v1,2026-07-06
Cryptococcus gattii species complex,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Anidulafungin,100,0,0,0,100,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Anidulafungin,432,0,0,0,432,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Anidulafungin,52,0,0,0,52,,v1,2026-07-06
Cunninghamella bertholletiae,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Epicoccum nigrum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Anidulafungin,18,0,0,0,18,,v1,2026-07-06
Exophiala phaeomuriformis,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Fonsecaea pedrosoi,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Fusarium musae,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Anidulafungin,25,0,0,0,25,,v1,2026-07-06
Fusarium petroliphilum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Fusarium solani species complex,Anidulafungin,65,0,0,0,65,,v1,2026-07-06
Geotrichum clavatum,Anidulafungin,35,0,0,0,35,,v1,2026-07-06
Geotrichum silvicola,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Gibberella fujikuroi species complex,Anidulafungin,37,0,0,0,37,,v1,2026-07-06
Kluyveromyces marxianus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia corymbifera,Anidulafungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia ramosa,Anidulafungin,6,0,0,0,6,,v1,2026-07-06
Lodderomyces elongisporus,Anidulafungin,7,0,0,0,7,,v1,2026-07-06
Lomentospora prolificans,Anidulafungin,30,0,0,0,30,,v1,2026-07-06
Magnusiomyces capitatus,Anidulafungin,26,0,0,0,26,,v1,2026-07-06
Malassezia pachydermatis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Medicopsis romeroi,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Anidulafungin,15,0,0,0,15,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Anidulafungin,18,0,0,0,18,,v1,2026-07-06
Paecilomyces variotii,Anidulafungin,14,0,0,0,14,,v1,2026-07-06
Penicillium chrysogenum,Anidulafungin,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium roqueforti group,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Anidulafungin,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Anidulafungin,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Anidulafungin,4,0,0,0,4,,v1,2026-07-06
Pichia onychis,Anidulafungin,1,0,0,0,1,,v1,2026-07-06
