iso3_country,canonical_organism,canonical_drug,parsed_year,n_isolates,median_distance_to_failure,low_n_flag,version,date_added
ARG,Candida lusitaniae,Posaconazole,2021,1,-0.9999999999999996,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2010,7,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2011,6,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2012,4,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2013,2,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2016,5,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2017,12,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2018,10,2.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2019,9,2.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2020,4,1.5,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2021,6,2.5,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2022,9,2.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2023,3,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Amphotericin B,2024,7,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Flucytosine,2010,7,0.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Flucytosine,2011,6,0.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Flucytosine,2012,4,-3.5,True,v1,2026-07-08
ARG,Candida parapsilosis,Flucytosine,2013,2,-3.5,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2010,7,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2011,6,2.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2012,4,2.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2013,2,1.5294468445267844,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2017,12,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2018,10,3.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2019,9,3.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2020,4,3.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2021,6,2.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2022,9,2.0588936890535687,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2023,3,1.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Itraconazole,2024,7,3.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2010,7,1.0588936890535687,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2011,6,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2012,4,2.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2013,2,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2016,5,3.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2017,12,1.5588936890535685,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2018,10,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2019,9,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2020,4,2.5588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2021,6,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2022,9,2.0588936890535683,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2023,3,0.0,True,v1,2026-07-08
ARG,Candida parapsilosis,Posaconazole,2024,7,2.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2011,3,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2013,2,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2015,2,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2017,7,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2018,4,1.5,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2019,7,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2020,10,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2021,9,2.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2022,1,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2023,7,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Amphotericin B,2024,2,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Flucytosine,2011,3,0.0,True,v1,2026-07-08
ARG,Candida tropicalis,Flucytosine,2013,2,0.0,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2011,3,3.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2013,2,2.029446844526784,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2017,7,1.0,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2018,4,3.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2019,7,2.0588936890535687,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2020,10,2.0588936890535687,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2021,9,3.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2022,1,3.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2023,7,2.0588936890535687,True,v1,2026-07-08
ARG,Candida tropicalis,Itraconazole,2024,2,3.0588936890535683,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2011,3,1.9999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2013,2,0.9999999999999998,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2015,2,1.4999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2017,7,0.0,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2018,4,1.4999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2019,7,0.9999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2020,10,0.4999999999999998,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2021,9,1.9999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2022,1,1.9999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2023,7,0.9999999999999996,True,v1,2026-07-08
ARG,Candida tropicalis,Posaconazole,2024,2,1.4999999999999996,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Amphotericin B,2011,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Fluconazole,2011,1,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Flucytosine,2011,1,3.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Itraconazole,2011,1,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Posaconazole,2011,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans,Voriconazole,2011,1,1.0588936890535687,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Amphotericin B,2013,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Amphotericin B,2015,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Amphotericin B,2016,2,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Amphotericin B,2022,1,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Fluconazole,2013,1,2.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Fluconazole,2015,1,2.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Fluconazole,2016,2,2.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Fluconazole,2022,1,2.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Flucytosine,2013,1,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Itraconazole,2013,1,1.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Itraconazole,2022,1,3.0588936890535683,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Posaconazole,2013,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Posaconazole,2015,1,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Posaconazole,2016,2,0.0,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Posaconazole,2022,1,2.0588936890535683,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Voriconazole,2013,1,2.0588936890535683,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Voriconazole,2015,1,2.0588936890535683,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Voriconazole,2016,2,2.0588936890535683,True,v1,2026-07-08
ARG,Cryptococcus neoformans var. grubii,Voriconazole,2022,1,3.0588936890535683,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2016,1,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2017,1,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2018,2,0.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2020,1,0.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2021,3,0.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2022,4,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2023,1,2.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Itraconazole,2024,2,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2016,1,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2017,1,2.0588936890535687,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2018,2,0.5,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2020,1,0.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2021,3,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2022,4,1.0,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2023,1,2.0588936890535687,True,v1,2026-07-08
AUS,Aspergillus flavus species complex,Posaconazole,2024,2,0.5,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2011,4,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2012,1,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2014,14,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2015,37,1.0,False,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2016,12,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2017,22,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2018,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2019,11,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2020,9,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2021,10,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2022,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2023,14,0.5,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Amphotericin B,2024,13,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2017,22,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2018,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2019,11,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2020,9,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2021,10,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2022,12,0.5,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2023,14,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Isavuconazole,2024,13,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2011,4,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2012,1,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2014,14,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2015,37,1.0,False,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2016,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2017,22,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2018,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2019,11,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2020,9,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2021,10,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2022,12,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2023,14,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Itraconazole,2024,13,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2011,4,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2012,1,0.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2014,14,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2015,37,1.0,False,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2016,12,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2017,22,1.0,True,v1,2026-07-08
AUS,Aspergillus fumigatus,Posaconazole,2018,12,1.0,True,v1,2026-07-08
