canonical_organism,canonical_drug,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_classified,n_wt,n_nwt,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2013,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2013,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2014,Invasive pulmonary,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2014,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2014,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2018,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CAN,2019,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CHN,2012,Sputum,6,6,6,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CHN,2013,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CHN,2013,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CHN,2013,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2012,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2013,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2013,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2014,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2015,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,COL,2015,Sinus,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2014,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2014,Upper Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2016,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2018,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2019,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2022,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2023,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2023,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2023,Ureteral catheter,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,CZE,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2013,Sputum,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2015,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2016,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2018,Blood culture,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2018,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2020,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2021,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2021,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,DEU,2022,Unknown,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ESP,2015,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ESP,2015,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ESP,2015,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ESP,2018,Sputum,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2016,Bone/Joint culture,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2016,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2017,"Ears,nose,throat",3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2018,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2019,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2020,"Ears,nose,throat",2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2020,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2021,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2021,Lower Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2022,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,FRA,2022,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2010,Invasive pulmonary,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2010,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2011,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2018,Lower Respiratory Tract,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2019,Lower Respiratory Tract,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2021,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2022,Unknown,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2023,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2023,Tracheal aspirate,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Lower Respiratory Tract,5,5,5,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Sinus,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,HUN,2024,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,IRL,2013,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,IRL,2014,Skin/Soft Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ISR,2022,Sinus,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,Aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,Bronchoalveolar lavage/wash,4,4,4,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,Invasive pulmonary,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,Plueral fluid,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2015,Sputum,4,4,4,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2016,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2016,Sputum,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2017,Sputum,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2018,Invasive pulmonary,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2019,Upper Respiratory Tract,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2020,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2024,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ITA,2024,Tracheal aspirate,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,JPN,2022,Unknown,7,7,7,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2017,Blood culture,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2017,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2018,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2018,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2019,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2019,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,KOR,2019,Wound/Drainage/Ulcer,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,NZL,2021,Tissue,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,NZL,2023,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ROU,2015,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,ROU,2024,Unknown,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVK,2010,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVK,2011,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVK,2011,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2014,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2016,Wound/Drainage/Ulcer,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2017,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2019,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2020,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2021,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SVN,2022,Bronchoalveolar lavage/wash,2,2,2,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SWE,2019,Sputum,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SWE,2020,"Ears,nose,throat",1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,SWE,2024,Upper Respiratory Tract,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2013,Bronchoalveolar lavage/wash,5,5,5,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2013,Sputum,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2014,Unknown,6,6,6,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2017,Unknown,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2018,Unknown,3,3,3,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2019,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus flavus species complex,Itraconazole,Triazole,THA,2020,Bronchoalveolar lavage/wash,1,1,1,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
