pathogen_type,iso3_country,parsed_year,n_isolates_in_stratum,n_tested,n_event,burden_point_estimate,burden_midpoint_weighted,tier1_bound_lower_pooled,tier1_bound_upper_pooled,mean_evolutionary_fitness_slope,n_fitness_cells,mean_median_distance_to_failure,n_distance_cells,life_expectancy,health_expenditure_pct_gdp,hib3_coverage_pct,hib3_coverage_source,pcvc_coverage_pct,pcvc_coverage_source,antimicrobial_consumption_ddd,consumption_data_gap,consumption_data_available,sdi_included,gbd_lri_included,version,date_added
bacterial,CZE,2015,373,3567.0,368.0,0.10316792823100644,0.11076864049588937,0.1014612627515853,0.1200760182401934,-0.13398900365967487,19.0,2.7167872387446885,19.0,78.5780487804878,7.29346752,97.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ESP,2018,10,140.0,9.0,0.06428571428571428,0.07042253521126761,0.06338028169014084,0.07746478873239436,-0.08025240152453265,28.0,3.0729409456213577,28.0,83.43170731707319,9.07122517,96.0,WUENIC,95.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ESP,2019,127,1778.0,135.0,0.07592800899887514,0.07711721817162084,0.07571508693213683,0.07851934941110486,-0.07451060983938235,28.0,3.133107432011784,28.0,83.83170731707318,9.21539497,96.0,WUENIC,94.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ESP,2020,236,3304.0,320.0,0.09685230024213075,0.09782608695652174,0.0966183574879227,0.09903381642512077,-0.0836591729709262,28.0,3.237037840018917,28.0,82.23170731707317,10.79479218,98.0,WUENIC,94.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ESP,2021,78,1092.0,135.0,0.12362637362637363,0.12636363636363637,0.12272727272727273,0.13,-0.0740198584133011,28.0,2.7778175247487877,28.0,83.1780487804878,10.34419918,93.0,WUENIC,93.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,GHA,2017,2,24.0,3.0,0.125,0.16666666666666666,0.1111111111111111,0.2222222222222222,,0.0,2.8750496964129444,12.0,63.829,2.68786979,99.0,WUENIC,99.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,GRC,2014,47,449.0,82.0,0.18262806236080179,0.20526683585273456,0.1719077568134172,0.23862591489205193,-0.5576697098672321,19.0,2.672888602750903,19.0,81.38536585365853,7.94358587,99.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,GRC,2015,102,1013.0,246.0,0.2428430404738401,0.255553894114875,0.23631123919308358,0.27479654903666645,-0.6447852003759805,19.0,1.201180089958142,19.0,81.03658536585367,8.26719952,99.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,GRC,2016,2,21.0,5.0,0.23809523809523808,0.29,0.2,0.38,-0.8075009818517768,11.0,1.660456509158278,11.0,81.3878048780488,8.45097542,99.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,HRV,2014,31,300.0,59.0,0.19666666666666666,0.2432223936521931,0.16905444126074498,0.3173903460436412,-0.8323178369704758,19.0,2.774396700439635,19.0,77.72439024390245,6.56612396,95.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,HRV,2015,160,1474.0,284.0,0.1926729986431479,0.20811153678126154,0.18610747051114024,0.23011560305138287,-0.6370231607088168,19.0,2.4921715592063145,19.0,77.27560975609758,6.65548038,94.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,HRV,2016,1,10.0,3.0,0.3,0.36666666666666664,0.2,0.5333333333333333,-1.2433346424688638,11.0,0.834243733378246,11.0,77.92195121951221,6.69167471,93.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,IND,2018,30,420.0,162.0,0.38571428571428573,0.3862559241706161,0.38388625592417064,0.3886255924170616,0.15012984424024353,28.0,0.10145445792145444,28.0,70.415,2.8584938,90.0,WUENIC,6.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,IND,2020,45,630.0,183.0,0.2904761904761905,0.2917981072555205,0.2886435331230284,0.2949526813880126,0.06601916369139287,28.0,1.6676959150645267,28.0,70.156,3.34146094,85.0,WUENIC,21.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,IND,2021,273,3822.0,1241.0,0.3246991104133961,0.32497387669801464,0.3241901776384535,0.32575757575757575,0.10001261333934106,28.0,0.7091739410521052,28.0,67.282,3.34680939,85.0,WUENIC,25.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ITA,2018,3,42.0,1.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.035714285714285046,14.0,2.594224744213107,14.0,83.34634146341465,8.65467453,94.0,WUENIC,92.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ITA,2019,74,1036.0,104.0,0.10038610038610038,0.10192307692307692,0.1,0.10384615384615385,0.2767456692466077,28.0,2.318658369435181,28.0,83.49756097560977,8.61536789,95.0,WUENIC,92.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ITA,2020,139,1946.0,211.0,0.10842754367934224,0.1098310291858679,0.1080389144905274,0.11162314388120839,0.21536069818873563,28.0,2.498107219800065,28.0,82.19512195121952,9.5643034,94.0,WUENIC,91.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ITA,2021,110,1539.0,183.0,0.1189083820662768,0.12093243108767039,0.11836998706338937,0.12349487511195141,0.4789198721609924,28.0,2.985442958878585,28.0,82.64634146341464,9.28164482,94.0,WUENIC,91.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KEN,2016,14,168.0,44.0,0.2619047619047619,0.2777777777777778,0.24444444444444444,0.3111111111111111,-0.21201418889920537,12.0,1.7769929408162186,12.0,62.526,4.75429106,88.0,WUENIC,83.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KEN,2017,21,252.0,111.0,0.44047619047619047,0.4431818181818182,0.42045454545454547,0.4659090909090909,-0.2120141888992054,12.0,-0.7450921925788692,12.0,62.725,3.98597503,81.0,WUENIC,78.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KEN,2018,9,108.0,29.0,0.26851851851851855,0.2916666666666667,0.24166666666666667,0.3416666666666667,-0.2120141888992054,12.0,1.3529645630178562,12.0,62.825,4.09903383,91.0,WUENIC,89.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KHM,2016,66,742.0,181.0,0.24393530997304583,0.24967061923583664,0.23847167325428195,0.2608695652173913,-1.3944185512182488,22.0,1.860424416964525,22.0,69.635,4.49053288,91.0,WUENIC,87.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KHM,2017,12,134.0,44.0,0.3283582089552239,0.3402777777777778,0.3055555555555556,0.375,-1.318276293233998,22.0,0.5513775973859268,22.0,69.842,4.26933241,90.0,WUENIC,81.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2015,10,120.0,46.0,0.38333333333333336,0.3962962962962963,0.34074074074074073,0.45185185185185184,0.1828639851930683,12.0,-0.5,12.0,79.37656097560976,4.21497965,99.0,WUENIC,99.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2016,44,528.0,200.0,0.3787878787878788,0.38278388278388276,0.3663003663003663,0.3992673992673993,0.18286398519306826,12.0,0.046574474087797406,12.0,79.67758536585367,4.73096323,99.0,WUENIC,99.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2017,30,356.0,88.0,0.24719101123595505,0.262532981530343,0.23218997361477572,0.2928759894459103,0.19667032760031022,22.0,2.5689515202141333,22.0,79.91607317073172,4.65326786,99.0,WUENIC,99.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2018,1,14.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.3036929345285318,14.0,3.441591682687989,14.0,80.10636585365855,5.17201853,91.0,WUENIC,91.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2019,112,1568.0,345.0,0.22002551020408162,0.22109275730622618,0.21918678526048285,0.22299872935196952,0.1883179364637884,28.0,1.6579382032322647,28.0,81.96975609756099,5.18200397,92.0,WUENIC,93.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2020,13,182.0,36.0,0.1978021978021978,0.20270270270270271,0.1945945945945946,0.21081081081081082,0.18535960318007702,28.0,1.9791315988037144,28.0,78.7609756097561,6.11295223,93.0,WUENIC,94.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,KWT,2021,2,28.0,7.0,0.25,0.25862068965517243,0.2413793103448276,0.27586206896551724,-0.003973726977450653,14.0,1.5945653778424735,14.0,78.73658536585367,5.37273169,94.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,LBN,2016,10,120.0,7.0,0.058333333333333334,0.08914728682170543,0.05426356589147287,0.12403100775193798,0.08333333333326558,12.0,3.2892624593690463,12.0,78.306,7.92344952,85.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,LBN,2017,11,132.0,10.0,0.07575757575757576,0.09420289855072464,0.07246376811594203,0.11594202898550725,0.08333333333326558,12.0,3.372595792702379,12.0,78.192,7.80357552,85.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,MAR,2016,14,164.0,16.0,0.0975609756097561,0.1206896551724138,0.09195402298850575,0.14942528735632185,-0.529776861803247,22.0,3.585416762179113,22.0,73.228,5.09203386,99.0,WUENIC,98.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,MAR,2017,9,104.0,19.0,0.18269230769230768,0.22727272727272727,0.15702479338842976,0.2975206611570248,-0.544124393177783,22.0,2.9208576548021954,22.0,73.608,4.98920393,99.0,WUENIC,99.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,NGA,2016,1,12.0,3.0,0.25,0.3,0.2,0.4,1.2549078074201068,12.0,2.034354651947915,12.0,52.189,3.64773679,53.0,WUENIC,49.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,NGA,2017,3,36.0,3.0,0.08333333333333333,0.14285714285714285,0.07142857142857142,0.21428571428571427,1.2549078074201065,12.0,3.2892624593690454,12.0,52.397,3.74762511,55.0,WUENIC,53.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2016,171,1856.0,464.0,0.25,0.2550158394931362,0.24498416050686378,0.26504751847940866,0.04706769740761209,22.0,0.6568651086510348,22.0,65.943,2.57026362,75.0,WUENIC,78.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2017,45,492.0,136.0,0.2764227642276423,0.289272030651341,0.26053639846743293,0.31800766283524906,0.04485911918370342,22.0,0.6571219718629129,22.0,66.223,2.7863009,75.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2018,11,154.0,42.0,0.2727272727272727,0.27848101265822783,0.26582278481012656,0.2911392405063291,0.043532442772287336,28.0,1.4548558839227372,28.0,66.481,2.82844949,80.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2019,1,14.0,6.0,0.42857142857142855,0.43333333333333335,0.4,0.4666666666666667,0.07977212353793174,14.0,-0.20587233013520448,14.0,66.729,2.84736943,84.0,WUENIC,83.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2020,43,602.0,148.0,0.24584717607973422,0.24835526315789475,0.24342105263157895,0.2532894736842105,0.01178760613261433,28.0,1.4629287653345502,28.0,65.701,2.95273018,80.0,WUENIC,82.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PAK,2021,69,965.0,248.0,0.25699481865284973,0.2584402181925402,0.25593395252837975,0.2609464838567006,-0.0011106422288688074,28.0,1.4355082851660412,28.0,65.773,2.99015832,83.0,WUENIC,83.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PHL,2016,53,562.0,34.0,0.060498220640569395,0.07849829351535836,0.05802047781569966,0.09897610921501707,-0.110422955471694,22.0,2.7997041364301896,22.0,69.49,3.95484328,84.0,WUENIC,40.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,PHL,2017,23,232.0,27.0,0.11637931034482758,0.1396761133603239,0.10931174089068826,0.1700404858299595,-0.27129787202971967,22.0,2.1293463318852353,22.0,69.966,3.96042776,84.0,WUENIC,38.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ROU,2015,321,3057.0,1015.0,0.33202486097481193,0.342422058982149,0.32615681233933164,0.35868730562496626,-0.08363059144960013,19.0,0.38763710610840585,19.0,74.91219512195123,4.94292021,89.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,ROU,2016,51,468.0,139.0,0.297008547008547,0.31509447466361296,0.2785571142284569,0.351631835098769,-0.0802600785873917,19.0,0.5265019296373109,19.0,75.20975609756098,5.08012772,89.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,RUS,2014,31,287.0,54.0,0.18815331010452963,0.21766291033806956,0.17197452229299362,0.2633512983831455,0.18271299127627022,19.0,2.045863558671797,19.0,70.74365853658537,5.1820941,,,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,RUS,2015,464,4376.0,695.0,0.15882084095063986,0.16775653205630794,0.15632028789923527,0.17919277621338064,0.2037090359895088,19.0,2.5639646766816773,19.0,71.18341463414635,5.29604626,,,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,RUS,2016,63,596.0,91.0,0.15268456375838926,0.17409305993690852,0.14353312302839116,0.20465299684542587,0.198892054507498,19.0,2.464906409755532,19.0,71.65121951219513,5.28970337,,,35.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SAU,2015,5,56.0,5.0,0.08928571428571429,0.17142857142857143,0.07142857142857142,0.2714285714285714,-0.8046337508217738,22.0,2.7868085556584803,22.0,77.776,5.8620224,98.0,WUENIC,98.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SAU,2016,54,584.0,113.0,0.1934931506849315,0.21082390953150243,0.1825525040387722,0.23909531502423265,-0.5810926934761161,22.0,2.0575438953515155,22.0,78.354,6.24142838,98.0,WUENIC,98.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SAU,2017,32,342.0,67.0,0.195906432748538,0.22413793103448276,0.17771883289124668,0.27055702917771884,-0.5036628175624155,22.0,1.478010229560828,22.0,78.721,6.03126049,98.0,WUENIC,98.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SGP,2016,65,690.0,178.0,0.2579710144927536,0.26869806094182824,0.24653739612188366,0.29085872576177285,-0.8994042563623608,22.0,1.384083899577768,22.0,82.84634146341465,4.37989521,96.0,WUENIC,78.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SGP,2017,49,518.0,146.0,0.28185328185328185,0.296028880866426,0.26353790613718414,0.3285198555956679,-0.8656607255270442,22.0,0.5485152649249506,22.0,83.09512195121954,4.35978413,96.0,WUENIC,83.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SRB,2014,21,221.0,78.0,0.35294117647058826,0.374446027223805,0.32098765432098764,0.42790440012662234,-0.5454545454543076,11.0,0.27808124445941534,11.0,75.33658536585367,8.85966778,94.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SRB,2015,96,924.0,317.0,0.3430735930735931,0.3595227040579441,0.3237997957099081,0.3952456124059801,,11.0,0.20643954950388163,19.0,75.28780487804879,8.46289921,95.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SVK,2015,164,1530.0,350.0,0.22875816993464052,0.2447815411272124,0.21957340025094102,0.2699896820034838,-1.073030413140346,19.0,1.9195341848646605,19.0,76.56341463414634,6.74109745,96.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,SVK,2016,29,264.0,67.0,0.2537878787878788,0.30130208333333336,0.209375,0.3932291666666667,-0.9679625101802175,19.0,0.9489316071481435,19.0,77.16585365853659,7.06081343,96.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2015,10,120.0,57.0,0.475,0.4772727272727273,0.4318181818181818,0.5227272727272727,0.41448365871077103,12.0,-1.4950921925788694,12.0,74.875,6.21339941,98.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2016,77,852.0,276.0,0.323943661971831,0.3287671232876712,0.3150684931506849,0.3424657534246575,0.27643894218417137,22.0,-0.066953733711415,22.0,75.007,6.24778175,98.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2017,66,716.0,223.0,0.31145251396648044,0.32,0.29733333333333334,0.3426666666666667,0.24109229689104758,22.0,0.1600570726670982,22.0,75.177,6.18557453,98.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2018,21,291.0,50.0,0.1718213058419244,0.1794350282485876,0.1688135593220339,0.19005649717514123,0.12518366818878604,28.0,2.297190846348806,28.0,75.37,5.9375186,97.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2020,36,504.0,105.0,0.20833333333333334,0.2106299212598425,0.20669291338582677,0.21456692913385828,0.11828636343485141,28.0,2.206585518804903,28.0,75.004,7.05612612,97.0,WUENIC,87.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUN,2021,72,1008.0,223.0,0.22123015873015872,0.22287968441814596,0.21992110453648916,0.22583826429980275,0.12007455355624186,28.0,1.6277883697253066,28.0,72.893,7.34183979,97.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2015,16,192.0,71.0,0.3697916666666667,0.37745098039215685,0.3480392156862745,0.4068627450980392,0.15047289788410545,12.0,0.42893618521949345,12.0,76.539,4.11690426,97.0,WUENIC,97.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2016,313,3398.0,756.0,0.22248381400824013,0.2253131371977862,0.22021555490824352,0.23041071948732886,0.08902220329552175,22.0,1.450186844819031,22.0,76.595,4.28469229,98.0,WUENIC,98.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2017,89,947.0,189.0,0.19957761351636746,0.20602378490175802,0.19519131334022752,0.21685625646328852,0.0766416765376634,22.0,1.4070067535394621,22.0,77.037,4.17974997,96.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2018,16,224.0,42.0,0.1875,0.19162995594713655,0.18502202643171806,0.19823788546255505,0.07756145037719829,28.0,2.166872099276509,28.0,77.454,4.12101603,98.0,WUENIC,97.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2019,18,252.0,53.0,0.21031746031746032,0.21372549019607842,0.20784313725490197,0.2196078431372549,0.09016051844104593,28.0,1.1226118589622136,28.0,77.737,4.35954332,99.0,WUENIC,97.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2020,368,5152.0,726.0,0.14091614906832298,0.14133385032958506,0.14075222954633573,0.1419154711128344,0.06178522601898906,28.0,2.6258140748314416,28.0,76.525,4.61640215,98.0,WUENIC,95.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,TUR,2021,55,770.0,139.0,0.18051948051948052,0.18298969072164947,0.1791237113402062,0.18685567010309279,0.08209711488018344,28.0,2.131545060646545,28.0,75.722,4.56065559,95.0,WUENIC,96.0,WUENIC,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2014,21,194.0,26.0,0.13402061855670103,0.17603211009174313,0.11926605504587157,0.23279816513761467,0.13336859997388992,19.0,2.3213015084571413,19.0,71.803,7.19506168,38.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2015,161,1528.0,175.0,0.11452879581151833,0.1261584094917428,0.11174968071519796,0.14056713826828768,0.12399660723800768,19.0,2.743123618227308,19.0,72.686,7.78352833,38.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2016,155,1669.0,177.0,0.1060515278609946,0.11719940756993227,0.10383907748732069,0.1305597376525438,0.09651629542852276,22.0,2.861050879143978,22.0,73.389,7.55205393,47.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2017,36,392.0,71.0,0.18112244897959184,0.1973365617433414,0.17191283292978207,0.22276029055690072,0.09437414442734693,22.0,2.659107296247629,22.0,73.993,7.44610357,39.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2018,1,14.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.04629324920319298,14.0,2.873288358185144,14.0,73.569,7.52051353,58.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2019,11,154.0,12.0,0.07792207792207792,0.08860759493670886,0.0759493670886076,0.10126582278481013,0.14904095229928768,28.0,3.1933869726901385,28.0,73.92,7.09389353,80.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
bacterial,UKR,2020,115,1610.0,128.0,0.07950310559006211,0.08106435643564357,0.0792079207920792,0.08292079207920793,0.13474561969461363,28.0,3.4162629596343526,28.0,73.283,7.56217051,85.0,WUENIC,,,,no_numeric_esac_net_series_locally,False,False,False,v1,2026-07-08
