iso3_country,canonical_organism,canonical_drug,n_years,first_year,last_year,total_n_isolates,min_n_isolates_across_years,evolutionary_fitness_score_slope,intercept,pearson_r,low_density_flag,version,date_added
AUS,Candida dubliniensis,Posaconazole,13,2011,2024,46,1,0.031881533101045696,-61.14058366286362,0.19216159730235643,True,v1,2026-07-08
AUS,Candida glabrata,Amphotericin B,14,2011,2024,252,4,0.035164835164836136,-69.80219780219974,0.40509574683346666,True,v1,2026-07-08
AUS,Candida glabrata,Fluconazole,14,2011,2024,252,4,0.07472527472527157,-153.829670329664,0.3670584895244008,True,v1,2026-07-08
AUS,Candida glabrata,Flucytosine,3,2011,2013,61,17,0.0,0.0,,True,v1,2026-07-08
AUS,Candida glabrata,Itraconazole,11,2011,2024,228,11,0.06311992786293814,-125.75112714156602,0.5617825551890144,True,v1,2026-07-08
AUS,Candida glabrata,Posaconazole,14,2011,2024,252,4,0.08791208791208593,-176.2912087912048,0.48650425541051995,True,v1,2026-07-08
AUS,Candida glabrata,Voriconazole,14,2011,2024,252,4,0.09192462496848275,-183.26880011822902,0.4863803707141365,True,v1,2026-07-08
AUS,Candida guilliermondii,Amphotericin B,8,2011,2022,14,1,0.0571748878923663,-113.46636771298351,0.43027634401967074,True,v1,2026-07-08
AUS,Candida guilliermondii,Flucytosine,3,2011,2013,7,1,2.4412785462885876e-17,0.9999999999999506,,True,v1,2026-07-08
AUS,Candida guilliermondii,Itraconazole,7,2011,2022,13,1,-0.13782051282050986,278.81410256409663,-0.637110453171086,True,v1,2026-07-08
AUS,Candida guilliermondii,Posaconazole,8,2011,2022,14,1,-0.08737925899647758,177.25565437391123,-0.6012779812128821,True,v1,2026-07-08
AUS,Candida krusei,Amphotericin B,13,2011,2024,32,1,0.002439024390242569,-4.036585365850966,0.034921514788478956,True,v1,2026-07-08
AUS,Candida krusei,Flucytosine,3,2011,2013,5,1,-0.7500000000000042,1510.8333333333424,-0.720576692122892,True,v1,2026-07-08
AUS,Candida krusei,Itraconazole,11,2011,2024,28,1,0.04537854808406222,-90.3040794342843,0.2932652764026977,True,v1,2026-07-08
AUS,Candida krusei,Posaconazole,13,2011,2024,32,1,0.037630662020904586,-75.35017421602512,0.35919272353864024,True,v1,2026-07-08
AUS,Candida lusitaniae,Amphotericin B,9,2011,2023,22,1,0.08249641794866383,-164.03650744498177,0.5264497660792659,True,v1,2026-07-08
AUS,Candida lusitaniae,Flucytosine,3,2011,2013,4,1,-1.7500000000005298,3519.8333333344003,-0.8660254037844386,True,v1,2026-07-08
AUS,Candida lusitaniae,Itraconazole,8,2011,2023,21,1,0.043657951759121634,-86.68092807347104,0.2939130453303337,True,v1,2026-07-08
AUS,Candida lusitaniae,Posaconazole,9,2011,2023,22,1,0.024064171122994953,-48.5481283422466,0.15512630699850577,True,v1,2026-07-08
AUS,Candida parapsilosis,Amphotericin B,14,2011,2024,117,2,0.0901098901098886,-180.36813186812878,0.7942098153317114,True,v1,2026-07-08
AUS,Candida parapsilosis,Flucytosine,3,2011,2013,38,7,0.0,0.0,,True,v1,2026-07-08
AUS,Candida parapsilosis,Itraconazole,11,2011,2024,95,2,0.06780323707595885,-134.42476118547972,0.40114594677924026,True,v1,2026-07-08
AUS,Candida parapsilosis,Posaconazole,14,2011,2024,117,2,0.0516483516483494,-102.10594147577706,0.37867532481381694,True,v1,2026-07-08
AUS,Candida tropicalis,Amphotericin B,13,2011,2024,44,1,0.034347231715651724,-67.95334928229454,0.3140471660400757,True,v1,2026-07-08
AUS,Candida tropicalis,Flucytosine,3,2011,2013,7,2,0.0,0.0,,True,v1,2026-07-08
AUS,Candida tropicalis,Itraconazole,11,2011,2024,40,2,0.003501180323572846,-4.330660572071043,0.019012823892302286,True,v1,2026-07-08
AUS,Candida tropicalis,Posaconazole,13,2011,2024,44,1,-0.07706766917293427,156.72368421053025,-0.41378654451139696,True,v1,2026-07-08
AUS,Cryptococcus neoformans,Amphotericin B,2,2011,2023,3,1,0.0,0.0,,True,v1,2026-07-08
AUS,Cryptococcus neoformans,Fluconazole,2,2011,2023,3,1,0.08333333333333502,-164.58333333333675,1.0,True,v1,2026-07-08
AUS,Cryptococcus neoformans,Itraconazole,2,2011,2023,3,1,0.04166666666666753,-83.29166666666842,1.0,True,v1,2026-07-08
AUS,Cryptococcus neoformans,Posaconazole,2,2011,2023,3,1,-0.044120570377232965,89.25591387314229,-1.0,True,v1,2026-07-08
AUS,Cryptococcus neoformans,Voriconazole,2,2011,2023,3,1,0.083333333333335,-164.5244396442831,1.0,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Amphotericin B,11,2012,2024,26,1,0.017423442449845047,-34.655755015846424,0.14459644165680544,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Fluconazole,11,2012,2024,26,1,0.05411826821542546,-106.42317845830613,0.34726016096444035,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Flucytosine,2,2012,2013,3,1,-0.5000000000002315,1008.5000000004663,-0.9999999999999999,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Itraconazole,8,2012,2024,20,1,0.1097982204813012,-219.99702989653417,0.6798513676563461,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Posaconazole,11,2012,2024,26,1,0.031183357506273553,-62.149406394482966,0.26491356183525755,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. grubii,Voriconazole,11,2012,2024,26,1,0.09318901795141968,-185.28931116837907,0.6904705740128128,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. neoformans,Amphotericin B,2,2013,2021,2,1,-4.81485407787021e-18,1.0000000000000093,,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. neoformans,Fluconazole,2,2013,2021,2,1,-1.925941631148084e-17,4.000000000000037,,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. neoformans,Itraconazole,2,2013,2021,2,1,0.25736171113168477,-517.0691245080814,0.9999999999999999,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. neoformans,Posaconazole,2,2013,2021,2,1,0.1249999999999945,-250.56610631093528,0.9999999999999999,True,v1,2026-07-08
AUS,Cryptococcus neoformans var. neoformans,Voriconazole,2,2013,2021,2,1,-0.12499999999999446,255.68389368904235,-0.9999999999999999,True,v1,2026-07-08
BEL,Aspergillus flavus species complex,Itraconazole,2,2018,2022,3,1,-0.1250000000000067,252.75000000001344,-0.9999999999999999,True,v1,2026-07-08
BEL,Aspergillus flavus species complex,Posaconazole,2,2018,2022,3,1,0.2500000000000133,-504.50000000002694,0.9999999999999999,True,v1,2026-07-08
BEL,Aspergillus fumigatus,Amphotericin B,7,2018,2024,43,1,0.3214285714286498,-648.6071428573014,0.6943650748294137,True,v1,2026-07-08
BEL,Aspergillus fumigatus,Isavuconazole,7,2018,2024,43,1,-0.07142857142858305,145.0714285714521,-0.3162277660168379,True,v1,2026-07-08
BEL,Aspergillus fumigatus,Itraconazole,7,2018,2024,43,1,-0.14285714285714246,288.92857142857065,-0.7844645405527362,True,v1,2026-07-08
BEL,Aspergillus fumigatus,Posaconazole,7,2018,2024,43,1,-3.266265382893669e-17,1.0000000000000664,,True,v1,2026-07-08
BEL,Aspergillus fumigatus,Voriconazole,7,2018,2024,43,1,-0.1428571428571455,290.00000000000546,-0.6324555320336757,True,v1,2026-07-08
BEL,Candida albicans,Amphotericin B,15,2010,2024,253,4,0.10357142857143127,-207.17023809524352,0.7802769036259155,True,v1,2026-07-08
BEL,Candida albicans,Flucytosine,4,2010,2013,52,4,0.0,0.0,,True,v1,2026-07-08
BEL,Candida albicans,Itraconazole,12,2010,2024,183,4,0.05988593155893381,-119.44486692014898,0.45467517764042514,True,v1,2026-07-08
BEL,Candida albicans,Posaconazole,15,2010,2024,253,4,0.0535714285714253,-107.18690476189818,0.37437655817234333,True,v1,2026-07-08
BEL,Candida dubliniensis,Itraconazole,5,2012,2024,9,1,0.049479166666666734,-97.59996047761322,0.28591640107870187,True,v1,2026-07-08
BEL,Candida dubliniensis,Posaconazole,7,2012,2024,11,1,0.07003257328989751,-138.44110631093676,0.47229939119523795,True,v1,2026-07-08
BEL,Candida glabrata,Amphotericin B,15,2010,2024,86,1,0.06785714285714418,-135.40119047619314,0.47421030701830164,True,v1,2026-07-08
BEL,Candida glabrata,Fluconazole,15,2010,2024,86,1,0.1196428571428631,-244.71964285715495,0.3103981513518362,True,v1,2026-07-08
BEL,Candida glabrata,Flucytosine,4,2010,2013,23,2,0.0,0.0,,True,v1,2026-07-08
BEL,Candida glabrata,Itraconazole,12,2010,2024,60,1,0.13106674203602245,-262.9222442502542,0.45404126839772446,True,v1,2026-07-08
BEL,Candida glabrata,Posaconazole,15,2010,2024,86,1,0.09464285714285588,-190.0573832778701,0.33604453924103245,True,v1,2026-07-08
BEL,Candida glabrata,Voriconazole,15,2010,2024,86,1,0.09317690445532982,-186.14202069992754,0.24169627342360922,True,v1,2026-07-08
BEL,Candida guilliermondii,Amphotericin B,8,2012,2024,9,1,0.06554307116106146,-130.59176029965124,0.5530530403299735,True,v1,2026-07-08
BEL,Candida guilliermondii,Flucytosine,2,2012,2013,2,1,-1.2814294577869363e-16,1.0000000000002578,,True,v1,2026-07-08
BEL,Candida guilliermondii,Itraconazole,6,2012,2024,7,1,0.08474576271186116,-170.1836158192025,0.5469028176232293,True,v1,2026-07-08
BEL,Candida guilliermondii,Posaconazole,8,2012,2024,9,1,0.02985225900926643,-59.21210777531102,0.2368458037698568,True,v1,2026-07-08
BEL,Candida krusei,Amphotericin B,6,2013,2024,7,1,-0.0009596928982668804,2.854126679451119,-0.006017875567831806,True,v1,2026-07-08
BEL,Candida krusei,Itraconazole,5,2013,2024,6,1,0.012953367875652752,-25.15803108809317,0.0804778474974563,True,v1,2026-07-08
BEL,Candida krusei,Posaconazole,6,2013,2024,7,1,-0.02495201535508777,51.20729366602966,-0.25470618351980506,True,v1,2026-07-08
BEL,Candida lusitaniae,Amphotericin B,5,2010,2021,5,1,0.17929292929291984,-359.78282828280913,0.8919710610425506,True,v1,2026-07-08
BEL,Candida lusitaniae,Flucytosine,2,2010,2013,2,1,-2.3333333333329382,4689.999999999204,-1.0,True,v1,2026-07-08
BEL,Candida lusitaniae,Itraconazole,4,2010,2021,4,1,0.32699169977085196,-657.8540719685681,0.9646887817570705,True,v1,2026-07-08
BEL,Candida lusitaniae,Posaconazole,5,2010,2021,5,1,0.20618440225631296,-415.597059925635,0.7346551826720877,True,v1,2026-07-08
BEL,Candida parapsilosis,Amphotericin B,14,2010,2023,40,1,0.0021978021978034928,-2.7890109890136014,0.018490006540840966,True,v1,2026-07-08
BEL,Candida parapsilosis,Flucytosine,4,2010,2013,16,1,0.0,0.0,,True,v1,2026-07-08
BEL,Candida parapsilosis,Itraconazole,11,2010,2023,31,1,0.053771184655072087,-106.55315397987094,0.23252040393129536,True,v1,2026-07-08
BEL,Candida parapsilosis,Posaconazole,14,2010,2023,40,1,0.04505494505494606,-89.12424496982423,0.20301506789306684,True,v1,2026-07-08
BEL,Candida tropicalis,Amphotericin B,11,2011,2024,22,1,0.05927601809954981,-118.2045248868825,0.5413176924784705,True,v1,2026-07-08
BEL,Candida tropicalis,Flucytosine,2,2011,2012,3,1,-3.5000000000038165,7035.000000007679,-1.0,True,v1,2026-07-08
BEL,Candida tropicalis,Itraconazole,9,2011,2024,18,1,0.17841102016077579,-357.8353391274058,0.5425280834541906,True,v1,2026-07-08
BEL,Candida tropicalis,Posaconazole,11,2011,2024,22,1,0.10648329854683368,-213.8335155939201,0.32774976972355113,True,v1,2026-07-08
BEL,Cryptococcus neoformans var. grubii,Amphotericin B,4,2012,2024,5,1,-0.08974358974358808,181.44230769230435,-0.9152086306448588,True,v1,2026-07-08
BEL,Cryptococcus neoformans var. grubii,Fluconazole,4,2012,2024,5,1,0.13461538461538397,-269.41346153846024,0.9152086306448589,True,v1,2026-07-08
BEL,Cryptococcus neoformans var. grubii,Itraconazole,4,2012,2024,5,1,0.1463109720945521,-292.8576823921105,0.5677921718906157,True,v1,2026-07-08
BEL,Cryptococcus neoformans var. grubii,Posaconazole,4,2012,2024,5,1,0.09502892081249802,-191.06922085364332,0.9152086306448587,True,v1,2026-07-08
BEL,Cryptococcus neoformans var. grubii,Voriconazole,4,2012,2024,5,1,0.08974358974358801,-178.38341400325066,0.9152086306448588,True,v1,2026-07-08
BRA,Aspergillus flavus,Itraconazole,2,2022,2023,2,1,1.0988706093208998e-16,0.9999999999997776,,True,v1,2026-07-08
BRA,Aspergillus flavus,Posaconazole,2,2022,2023,2,1,-2.058893689052745,4165.141932953703,-0.9999999999999999,True,v1,2026-07-08
BRA,Aspergillus flavus species complex,Itraconazole,12,2010,2023,20,1,0.04540295119182864,-90.71036700719114,0.35188951465362794,True,v1,2026-07-08
BRA,Aspergillus flavus species complex,Posaconazole,12,2010,2023,20,1,0.09745125408426095,-195.85618323997,0.6651557138074564,True,v1,2026-07-08
BRA,Aspergillus fumigatus,Amphotericin B,14,2010,2024,46,1,0.1108808290155438,-223.19818652849685,0.8049081080289149,True,v1,2026-07-08
BRA,Aspergillus fumigatus,Isavuconazole,9,2013,2024,23,1,-0.08876811594203252,179.89311594203616,-0.5009397523170876,True,v1,2026-07-08
BRA,Aspergillus fumigatus,Itraconazole,14,2010,2024,46,1,-0.036269430051813996,73.66062176165907,-0.26933039209050824,True,v1,2026-07-08
BRA,Aspergillus fumigatus,Posaconazole,14,2010,2024,46,1,0.04888837038768482,-97.75137422961704,0.38741489444425287,True,v1,2026-07-08
BRA,Aspergillus fumigatus,Voriconazole,14,2010,2024,46,1,-0.05155440414507739,105.3497409326418,-0.4169974682862313,True,v1,2026-07-08
BRA,Aspergillus niger,Itraconazole,2,2019,2021,2,1,-0.49999999999982936,1011.499999999655,-0.9999999999999999,True,v1,2026-07-08
BRA,Aspergillus niger,Posaconazole,2,2019,2021,2,1,-1.6500961872824574e-17,1.0000000000000335,,True,v1,2026-07-08
BRA,Candida albicans,Amphotericin B,15,2010,2024,199,4,0.0696428571428582,-138.969642857145,0.6229046508749414,True,v1,2026-07-08
BRA,Candida albicans,Flucytosine,4,2010,2013,103,16,0.0,0.0,,True,v1,2026-07-08
BRA,Candida albicans,Itraconazole,12,2010,2024,176,4,-0.0038022813688214645,9.087769328263972,-0.026494520892457327,True,v1,2026-07-08
BRA,Candida albicans,Posaconazole,15,2010,2024,199,4,0.014285714285715298,-27.847619047621095,0.1599573503924183,True,v1,2026-07-08
BRA,Candida dubliniensis,Itraconazole,3,2019,2022,5,1,0.1428571428571331,-286.22682059664095,0.7559289460184543,True,v1,2026-07-08
BRA,Candida dubliniensis,Posaconazole,3,2019,2022,5,1,-0.21428571428561718,435.9874651174287,-0.6546536707079771,True,v1,2026-07-08
BRA,Candida glabrata,Amphotericin B,13,2010,2024,40,1,0.05782105903834447,-115.45343883140593,0.6208653049754806,True,v1,2026-07-08
BRA,Candida glabrata,Fluconazole,13,2010,2024,40,1,0.032866707242849735,-69.20511259890704,0.2061800963296085,True,v1,2026-07-08
BRA,Candida glabrata,Flucytosine,4,2010,2013,22,2,0.0,0.0,,True,v1,2026-07-08
BRA,Candida glabrata,Itraconazole,11,2010,2024,35,1,0.046415094339622355,-91.80528301886731,0.5631783121896249,True,v1,2026-07-08
BRA,Candida glabrata,Posaconazole,13,2010,2024,40,1,0.0235849056603763,-46.448113207545035,0.1752707479982124,True,v1,2026-07-08
BRA,Candida glabrata,Voriconazole,13,2010,2024,40,1,0.08268888302585985,-164.51815865799267,0.36164199171896816,True,v1,2026-07-08
BRA,Candida guilliermondii,Amphotericin B,6,2010,2024,10,1,-0.03267654257746129,68.11229911239623,-0.20082804347365946,True,v1,2026-07-08
BRA,Candida guilliermondii,Flucytosine,2,2010,2011,3,1,-1.4426364341850826e-16,1.0000000000002902,,True,v1,2026-07-08
BRA,Candida guilliermondii,Itraconazole,6,2010,2024,10,1,0.17117903930130932,-344.7441048034919,0.7740327109073525,True,v1,2026-07-08
BRA,Candida guilliermondii,Posaconazole,6,2010,2024,10,1,0.11587587229787898,-232.88189975538555,0.6845408523449997,True,v1,2026-07-08
BRA,Candida krusei,Amphotericin B,8,2010,2021,13,1,0.04607508532423306,-92.04607508532622,0.49069285520169026,True,v1,2026-07-08
BRA,Candida krusei,Flucytosine,3,2010,2013,6,1,0.4285714285714908,-861.5000000001253,0.7559289460184544,True,v1,2026-07-08
BRA,Candida krusei,Itraconazole,6,2010,2021,9,1,0.0701219512195116,-140.65243902438903,0.6349812749303675,True,v1,2026-07-08
BRA,Candida krusei,Posaconazole,8,2010,2021,13,1,0.13765642775881562,-276.8043230944231,0.7330103145605498,True,v1,2026-07-08
BRA,Candida lusitaniae,Amphotericin B,4,2010,2021,4,1,-8.801285583066115e-20,1.9999999999999998,,True,v1,2026-07-08
BRA,Candida lusitaniae,Flucytosine,2,2010,2011,2,1,0.0,0.0,,True,v1,2026-07-08
BRA,Candida lusitaniae,Itraconazole,3,2010,2021,3,1,-0.054054054054054654,111.25709188725294,-0.5694947974514994,True,v1,2026-07-08
BRA,Candida lusitaniae,Posaconazole,4,2010,2021,4,1,-0.0779220779220779,156.974025974026,-0.4834937784152283,True,v1,2026-07-08
BRA,Candida parapsilosis,Amphotericin B,15,2010,2024,103,1,0.024999999999998985,-49.09166666666462,0.19028109877684665,True,v1,2026-07-08
BRA,Candida parapsilosis,Flucytosine,4,2010,2013,69,6,0.0,0.0,,True,v1,2026-07-08
BRA,Candida parapsilosis,Itraconazole,12,2010,2024,89,1,0.052059705961602934,-102.94461984407708,0.34340132625659997,True,v1,2026-07-08
BRA,Candida parapsilosis,Posaconazole,15,2010,2024,103,1,0.037499999999999895,-73.8452729776129,0.36637815784439787,True,v1,2026-07-08
BRA,Candida tropicalis,Amphotericin B,14,2010,2024,75,2,0.049273447820343055,-98.00224570673626,0.460948958805788,True,v1,2026-07-08
BRA,Candida tropicalis,Flucytosine,4,2010,2013,43,2,0.0,0.0,,True,v1,2026-07-08
BRA,Candida tropicalis,Itraconazole,12,2010,2024,70,2,0.016775504353221986,-31.168048054703487,0.10843671440352637,True,v1,2026-07-08
BRA,Candida tropicalis,Posaconazole,14,2010,2024,75,2,-0.03315719947159709,68.20660501981239,-0.23673504585329058,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Amphotericin B,3,2010,2023,23,2,0.03980891719745028,-80.03503184712976,0.9976086055845276,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Fluconazole,3,2010,2023,23,2,-0.035031847133752014,72.91082802546566,-0.4389477864571922,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Flucytosine,2,2010,2011,21,10,0.9999999999998547,-2007.999999999708,0.9999999999999999,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Itraconazole,3,2010,2023,23,2,0.004777070063698225,-7.065310132610448,0.06911635163761343,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Posaconazole,3,2010,2023,23,2,-0.07212684897957142,145.99785630719427,-0.4389477864571921,True,v1,2026-07-08
BRA,Cryptococcus neoformans,Voriconazole,3,2010,2023,23,2,-0.07961783439490049,163.12895738331298,-0.9976086055845278,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Amphotericin B,12,2012,2024,73,1,0.044647660032274564,-89.49704142011657,0.2506180760547898,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Fluconazole,12,2012,2024,73,1,0.021516944593871185,-40.74556213018459,0.16400055104277725,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Flucytosine,2,2012,2013,16,8,-2.5628589155738726e-16,2.0000000000005156,,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Itraconazole,9,2012,2024,40,1,-0.06602427653320812,135.30559662628667,-0.29412557791449007,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Posaconazole,12,2012,2024,73,1,-0.03066421240217102,62.82353299844924,-0.14070411845249808,True,v1,2026-07-08
BRA,Cryptococcus neoformans var. grubii,Voriconazole,12,2012,2024,73,1,0.0072619688004316825,-11.96773352988405,0.05646398342819229,True,v1,2026-07-08
CAN,Aspergillus flavus species complex,Itraconazole,6,2011,2019,10,1,0.11214953271027778,-225.2585669781879,0.7104033341674725,True,v1,2026-07-08
