canonical_organism,drug_class,iso3_country,parsed_year,specimen_source,n_isolates_in_stratum,n_tested,n_susceptible,n_intermediate,n_resistant,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Aspergillus fumigatus,Triazole,AUS,2024,Bronchoalveolar lavage/wash,7,14,13,1,0,2.0,1.8571428571428572,0.8571428571428571,-1.0,0.9285714285714286,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2024,Sputum,3,6,5,1,0,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,AUS,2024,Tracheal aspirate,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2018,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2018,Plueral fluid,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2018,Sputum,4,8,6,0,2,2.0,1.5,0.5,-1.0,0.75,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2018,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2019,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2019,Sputum,5,10,8,0,2,2.0,1.6,0.6,-1.0,0.8,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2019,Unknown,4,8,8,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2020,Unknown,6,12,12,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2021,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2021,Invasive pulmonary,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2021,Tracheal aspirate,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2022,Unknown,9,18,14,0,4,2.0,1.5555555555555556,0.5555555555555556,-1.0,0.7777777777777778,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2023,Bronchoalveolar lavage/wash,2,4,2,0,2,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2023,Invasive pulmonary,3,6,4,0,2,2.0,1.3333333333333333,0.3333333333333333,-1.0,0.6666666666666666,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BEL,2024,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2010,Bronchoalveolar lavage/wash,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2010,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2010,Sputum,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2011,Bronchoalveolar lavage/wash,6,6,5,1,0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2011,Other,2,2,1,1,0,1.0,0.5,0.5,0.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2011,Sputum,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2012,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2012,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2012,Sputum,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2013,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2014,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2014,Eye/conjunctiva,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2014,Sputum,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2016,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2016,Plueral fluid,2,2,1,1,0,1.0,0.5,0.5,0.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2017,Sinus,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2018,Bronchoalveolar lavage/wash,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2018,Sputum,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2018,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2019,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2019,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2019,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2020,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2020,Sinus,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2021,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2021,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2022,Bronchoalveolar lavage/wash,1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2022,Sputum,1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2022,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2023,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2023,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2023,Tissue,1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2024,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2024,Other,1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,BRA,2024,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2010,Unknown,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2011,Other,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2012,Bronchoalveolar lavage/wash,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2012,Sputum,5,5,5,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2013,Blood culture,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2013,Endotracheal tube,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2013,Lower Respiratory Tract,12,24,24,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2013,Plueral fluid,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2013,Sputum,8,16,13,3,0,2.0,1.625,0.625,-1.0,0.8125,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2014,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2014,Sputum,10,10,10,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2014,Tracheal aspirate,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2014,Unknown,12,12,11,1,0,1.0,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2015,Bronchoalveolar lavage/wash,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2015,Invasive pulmonary,7,7,7,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2015,Lower Respiratory Tract,7,7,7,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2015,Sputum,10,10,9,1,0,1.0,0.9,0.9,0.0,0.9,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2016,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2016,Sputum,11,11,9,2,0,1.0,0.8181818181818182,0.8181818181818182,0.0,0.8181818181818182,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2016,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2017,Bronchoalveolar lavage/wash,4,8,8,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2017,Sputum,9,18,18,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2018,Bronchoalveolar lavage/wash,3,6,5,1,0,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2018,"Ears,nose,throat",1,2,1,1,0,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2018,Sputum,7,14,12,2,0,2.0,1.7142857142857142,0.7142857142857143,-1.0,0.8571428571428571,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2019,Unknown,9,18,16,2,0,2.0,1.7777777777777777,0.7777777777777778,-1.0,0.8888888888888888,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CAN,2020,Unknown,11,22,21,1,0,2.0,1.9090909090909092,0.9090909090909091,-1.0,0.9545454545454546,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CHN,2012,Sputum,7,7,7,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CHN,2013,Lower Respiratory Tract,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CHN,2013,Plueral fluid,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CHN,2013,Sputum,9,9,9,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2012,Bronchoalveolar lavage/wash,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2012,Sinus,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2012,Sputum,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2013,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2013,Sinus,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2013,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2013,Tracheal aspirate,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2014,Bronchoalveolar lavage/wash,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2014,Other,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2014,Tissue,3,3,3,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2015,Abscess (pus),1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2015,Bone/Joint culture,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2015,Bronchoalveolar lavage/wash,8,8,8,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2015,Invasive pulmonary,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,COL,2015,Plueral fluid,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2013,Bronchoalveolar lavage/wash,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2013,Tracheal aspirate,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2013,Wound/Drainage/Ulcer,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2015,Bronchoalveolar lavage/wash,2,2,1,1,0,1.0,0.5,0.5,0.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2015,Eye/conjunctiva,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2015,Sputum,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2015,Tissue,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2015,Tracheal aspirate,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2016,Sputum,2,2,1,1,0,1.0,0.5,0.5,0.0,0.5,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2016,Wound/Drainage/Ulcer,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2017,Lower Respiratory Tract,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2017,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2017,Tracheal aspirate,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2018,Bronchoalveolar lavage/wash,5,10,7,3,0,2.0,1.4,0.4,-1.0,0.7,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2018,Plueral fluid,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2018,Tracheal aspirate,5,10,8,2,0,2.0,1.6,0.6,-1.0,0.8,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2019,Bronchoalveolar lavage/wash,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2019,Tracheal aspirate,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2021,Tracheal aspirate,15,30,25,3,2,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2022,Aspirate,6,12,10,2,0,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2022,Sputum,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2023,Bronchoalveolar lavage/wash,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2023,Sputum,3,6,6,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2023,Tissue,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2023,Tracheal aspirate,5,10,8,0,2,2.0,1.6,0.6,-1.0,0.8,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2024,Bronchoalveolar lavage/wash,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2024,Sputum,10,20,18,0,2,2.0,1.8,0.8,-1.0,0.9,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,CZE,2024,Tracheal aspirate,2,4,4,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Bronchoalveolar lavage/wash,3,3,2,1,0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,GI tract/bowel,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Lower Respiratory Tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Sputum,2,2,2,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Tracheal aspirate,8,8,7,1,0,1.0,0.875,0.875,0.0,0.875,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Upper Respiratory Tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2013,Urine/Urinary tract,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2014,Tracheal aspirate,4,4,3,0,1,1.0,0.75,0.75,0.0,0.75,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2014,Unknown,4,4,4,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
Aspergillus fumigatus,Triazole,DEU,2014,Wound/Drainage/Ulcer,1,1,1,0,0,1.0,1.0,1.0,0.0,1.0,True,v1,2026-07-08
