canonical_organism,drug_class,iso3_country,parsed_year,body_site,n_isolates_in_stratum,n_tested,n_resistant,n_intermediate,n_susceptible,coverage_t_over_n,tier1_bound_lower,tier1_bound_upper,tier1_width,tier2_bound_upper_assumes_monotonicity,low_n_flag,version,date_added
Haemophilus influenzae,Aminopenicillin,CZE,2014,Respiratory: Sputum,8,16,1,0,15,2.0,0.125,-0.875,-1.0,0.0625,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,CVS: Blood,32,64,18,0,46,2.0,0.5625,-0.4375,-1.0,0.28125,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,HEENT: Middle ear,21,42,5,0,37,2.0,0.23809523809523808,-0.7619047619047619,-1.0,0.11904761904761904,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,Respiratory: Bronchoalveolar lavage,9,18,4,0,14,2.0,0.4444444444444444,-0.5555555555555556,-1.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,Respiratory: Endotracheal aspirate,20,40,10,0,30,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,Respiratory: Sinuses,17,34,2,0,32,2.0,0.11764705882352941,-0.8823529411764706,-1.0,0.058823529411764705,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,CZE,2015,Respiratory: Sputum,77,154,26,0,128,2.0,0.33766233766233766,-0.6623376623376623,-1.0,0.16883116883116883,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2018,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2018,Respiratory: Sputum,5,10,2,0,8,2.0,0.4,-0.6,-1.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2019,HEENT: Middle ear,5,10,0,0,10,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2019,Respiratory: Bronchoalveolar lavage,5,10,4,0,6,2.0,0.8,-0.2,-1.0,0.4,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2019,Respiratory: Endotracheal aspirate,11,22,8,0,14,2.0,0.7272727272727273,-0.2727272727272727,-1.0,0.36363636363636365,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2019,Respiratory: Other,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2019,Respiratory: Sputum,61,122,27,0,95,2.0,0.4426229508196721,-0.5573770491803278,-1.0,0.22131147540983606,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,CVS: Blood,7,14,0,0,14,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,HEENT: Middle ear,9,18,4,0,14,2.0,0.4444444444444444,-0.5555555555555556,-1.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Respiratory: Bronchoalveolar lavage,13,26,6,0,20,2.0,0.46153846153846156,-0.5384615384615384,-1.0,0.23076923076923078,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Respiratory: Endotracheal aspirate,9,18,2,0,16,2.0,0.2222222222222222,-0.7777777777777778,-1.0,0.1111111111111111,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Respiratory: Other,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Respiratory: Sinuses,16,32,4,0,28,2.0,0.25,-0.75,-1.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Respiratory: Sputum,76,152,30,0,122,2.0,0.39473684210526316,-0.6052631578947368,-1.0,0.19736842105263158,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2020,Unknown,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2021,CVS: Blood,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2021,Respiratory: Bronchoalveolar lavage,6,12,1,0,11,2.0,0.16666666666666666,-0.8333333333333334,-1.0,0.08333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2021,Respiratory: Endotracheal aspirate,15,30,2,0,28,2.0,0.13333333333333333,-0.8666666666666667,-1.0,0.06666666666666667,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2021,Respiratory: Sinuses,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ESP,2021,Respiratory: Sputum,28,56,15,0,41,2.0,0.5357142857142857,-0.4642857142857143,-1.0,0.26785714285714285,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,GRC,2014,Respiratory: Bronchoalveolar lavage,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,GRC,2014,Respiratory: Sputum,20,40,6,0,34,2.0,0.3,-0.7,-1.0,0.15,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,GRC,2015,Respiratory: Bronchoalveolar lavage,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,GRC,2015,Respiratory: Sputum,29,58,10,0,48,2.0,0.3448275862068966,-0.6551724137931034,-1.0,0.1724137931034483,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2014,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2014,Respiratory: Bronchoalveolar lavage,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2014,Respiratory: Endotracheal aspirate,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2014,Respiratory: Other,7,14,0,0,14,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2015,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2015,Respiratory: Bronchoalveolar lavage,27,54,3,0,51,2.0,0.1111111111111111,-0.8888888888888888,-1.0,0.05555555555555555,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2015,Respiratory: Endotracheal aspirate,8,16,4,0,12,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2015,Respiratory: Other,27,54,5,0,49,2.0,0.18518518518518517,-0.8148148148148148,-1.0,0.09259259259259259,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,HRV,2015,Respiratory: Sputum,24,48,6,0,42,2.0,0.25,-0.75,-1.0,0.125,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2018,Respiratory: Sputum,4,8,2,0,6,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2020,Respiratory: Bronchoalveolar lavage,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2020,Respiratory: Endotracheal aspirate,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2020,Respiratory: Other,1,2,2,0,0,2.0,2.0,1.0,-1.0,1.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2020,Respiratory: Sputum,30,60,15,0,45,2.0,0.5,-0.5,-1.0,0.25,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2021,CVS: Blood,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2021,Respiratory: Bronchoalveolar lavage,7,14,0,0,14,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2021,Respiratory: Endotracheal aspirate,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2021,Respiratory: Sputum,124,248,31,0,217,2.0,0.25,-0.75,-1.0,0.125,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,IND,2021,Unknown,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2018,Respiratory: Other,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,CVS: Blood,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,Respiratory: Bronchoalveolar lavage,23,46,9,0,37,2.0,0.391304347826087,-0.6086956521739131,-1.0,0.1956521739130435,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,Respiratory: Endotracheal aspirate,6,12,4,0,8,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,Respiratory: Other,13,26,5,0,21,2.0,0.38461538461538464,-0.6153846153846154,-1.0,0.19230769230769232,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,Respiratory: Sputum,12,24,0,0,24,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2019,Unknown,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,CVS: Blood,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Respiratory: Bronchoalveolar lavage,46,92,27,0,65,2.0,0.5869565217391305,-0.41304347826086957,-1.0,0.29347826086956524,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Respiratory: Endotracheal aspirate,9,18,4,0,14,2.0,0.4444444444444444,-0.5555555555555556,-1.0,0.2222222222222222,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Respiratory: Other,17,34,6,0,28,2.0,0.35294117647058826,-0.6470588235294118,-1.0,0.17647058823529413,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Respiratory: Sinuses,4,8,2,0,6,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Respiratory: Sputum,23,46,10,0,36,2.0,0.43478260869565216,-0.5652173913043478,-1.0,0.21739130434782608,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2020,Unknown,16,32,6,0,26,2.0,0.375,-0.625,-1.0,0.1875,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,CVS: Blood,7,14,2,0,12,2.0,0.2857142857142857,-0.7142857142857143,-1.0,0.14285714285714285,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,Respiratory: Bronchoalveolar lavage,26,52,6,0,46,2.0,0.23076923076923078,-0.7692307692307693,-1.0,0.11538461538461539,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,Respiratory: Endotracheal aspirate,13,26,1,0,25,2.0,0.07692307692307693,-0.9230769230769231,-1.0,0.038461538461538464,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,Respiratory: Other,10,20,4,0,16,2.0,0.4,-0.6,-1.0,0.2,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,Respiratory: Sputum,7,14,2,0,12,2.0,0.2857142857142857,-0.7142857142857143,-1.0,0.14285714285714285,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,ITA,2021,Unknown,6,12,0,0,12,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KHM,2016,CVS: Blood,5,10,4,0,6,2.0,0.8,-0.2,-1.0,0.4,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KHM,2016,Respiratory: Sputum,20,40,7,0,33,2.0,0.35,-0.65,-1.0,0.175,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KHM,2017,Respiratory: Sputum,5,10,6,0,4,2.0,1.2,0.2,-1.0,0.6,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2017,HEENT: Middle ear,1,2,1,0,1,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2017,Respiratory: Transtracheal aspirate,1,2,1,0,1,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2018,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,CVS: Blood,5,10,0,0,10,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,HEENT: Middle ear,13,26,5,0,21,2.0,0.38461538461538464,-0.6153846153846154,-1.0,0.19230769230769232,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,Respiratory: Bronchoalveolar lavage,4,8,2,0,6,2.0,0.5,-0.5,-1.0,0.25,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,Respiratory: Endotracheal aspirate,18,36,13,0,23,2.0,0.7222222222222222,-0.2777777777777778,-1.0,0.3611111111111111,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,Respiratory: Other,3,6,5,0,1,2.0,1.6666666666666667,0.6666666666666666,-1.0,0.8333333333333334,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2019,Respiratory: Sputum,27,54,3,0,51,2.0,0.1111111111111111,-0.8888888888888888,-1.0,0.05555555555555555,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2020,Respiratory: Endotracheal aspirate,5,10,5,0,5,2.0,1.0,0.0,-1.0,0.5,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,KWT,2020,Respiratory: Sputum,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,MAR,2016,Respiratory: Transtracheal aspirate,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,MAR,2017,Respiratory: Sputum,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,MAR,2017,Respiratory: Transtracheal aspirate,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2016,HEENT: Middle ear,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2016,Respiratory: Bronchoalveolar lavage,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2016,Respiratory: Sinuses,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2016,Respiratory: Sputum,86,172,4,0,168,2.0,0.046511627906976744,-0.9534883720930233,-1.0,0.023255813953488372,False,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2016,Respiratory: Transtracheal aspirate,5,10,0,0,10,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2017,HEENT: Middle ear,3,6,2,0,4,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2017,Respiratory: Bronchoalveolar lavage,3,6,2,0,4,2.0,0.6666666666666666,-0.3333333333333333,-1.0,0.3333333333333333,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2017,Respiratory: Sputum,18,36,0,0,36,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2018,Respiratory: Sputum,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2020,CVS: Blood,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2020,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2020,Respiratory: Bronchoalveolar lavage,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2020,Respiratory: Other,4,8,0,0,8,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2020,Respiratory: Sputum,14,28,0,0,28,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2021,Respiratory: Bronchoalveolar lavage,2,4,0,0,4,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2021,Respiratory: Endotracheal aspirate,3,6,0,0,6,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2021,Respiratory: Other,10,20,1,0,19,2.0,0.1,-0.9,-1.0,0.05,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PAK,2021,Respiratory: Sputum,27,54,7,0,47,2.0,0.25925925925925924,-0.7407407407407407,-1.0,0.12962962962962962,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PHL,2016,HEENT: Middle ear,1,2,0,0,2,2.0,0.0,-1.0,-1.0,0.0,True,v1,2026-07-08
Haemophilus influenzae,Aminopenicillin,PHL,2016,Respiratory: Sputum,32,64,6,0,58,2.0,0.1875,-0.8125,-1.0,0.09375,False,v1,2026-07-08
