raw_string,canonical_organism,pathogen_type,exclusion_reason,note,cohorts_observed,row_count,version,date_added
Microbacterium sp,Microbacterium sp,bacterial,,,SOAR_207965,1,v1,2026-07-20
Micrococcus luteus,excluded,,environmental_contaminant,,SOAR_207965,11,v1,2026-07-20
Microsporum canis,excluded,,cross_domain_fungal_wrong_drug_panel,,SOAR_207965,1,v1,2026-07-20
Moraxella catarrhalis,Moraxella catarrhalis,bacterial,,,SOAR_207965,5,v1,2026-07-20
Moraxella osloensis,Moraxella osloensis,bacterial,,,SOAR_207965,1,v1,2026-07-20
Moraxella sp,Moraxella sp,bacterial,,,SOAR_207965,1,v1,2026-07-20
Naganishia liquefaciens,excluded,,cross_domain_fungal_wrong_drug_panel,,SOAR_207965,1,v1,2026-07-20
No Growth,excluded,,no_growth,,SOAR_207965,2,v1,2026-07-20
Paenibacillus sp,excluded,,environmental_contaminant,,SOAR_207965,2,v1,2026-07-20
Pantoea septica,Pantoea septica,bacterial,,,SOAR_207965,1,v1,2026-07-20
Pasteurella multocida,Pasteurella multocida,bacterial,,,SOAR_207965,1,v1,2026-07-20
Pseudomonas aeruginosa,Pseudomonas aeruginosa,bacterial,,,SOAR_207965,3,v1,2026-07-20
Pseudomonas monteilii,Pseudomonas monteilii,bacterial,,,SOAR_207965,1,v1,2026-07-20
Pseudomonas stutzeri,Pseudomonas stutzeri,bacterial,,,SOAR_207965,2,v1,2026-07-20
Roseomonas sp,Roseomonas sp,bacterial,,,SOAR_207965,1,v1,2026-07-20
Rothia sp,Rothia sp,bacterial,,,SOAR_207965,2,v1,2026-07-20
S. mitis group,S. mitis group,bacterial,,,SOAR_207965,2,v1,2026-07-20
Staphylococcus aureus,Staphylococcus aureus,bacterial,,,SOAR_207965,8,v1,2026-07-20
Staphylococcus cohnii,Staphylococcus cohnii,bacterial,,,SOAR_207965,2,v1,2026-07-20
Staphylococcus epidermidis,Staphylococcus epidermidis,bacterial,,,SOAR_207965,27,v1,2026-07-20
Staphylococcus haemolyticus,Staphylococcus haemolyticus,bacterial,,,SOAR_207965,2,v1,2026-07-20
Staphylococcus hominis,Staphylococcus hominis,bacterial,,,SOAR_207965,4,v1,2026-07-20
Staphylococcus lugdunensis,Staphylococcus lugdunensis,bacterial,,,SOAR_207965,1,v1,2026-07-20
Staphylococcus pasteuri,Staphylococcus pasteuri,bacterial,,,SOAR_207965,1,v1,2026-07-20
Staphylococcus sp,Staphylococcus sp,bacterial,,,SOAR_207965,43,v1,2026-07-20
Staphylococcus warneri,Staphylococcus warneri,bacterial,,,SOAR_207965,10,v1,2026-07-20
Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,bacterial,,,SOAR_207965,2,v1,2026-07-20
Streptococcus anginosus,Streptococcus anginosus,bacterial,,,SOAR_207965,2,v1,2026-07-20
Streptococcus gordonii,Streptococcus gordonii,bacterial,,,SOAR_207965,2,v1,2026-07-20
Streptococcus mitis,Streptococcus mitis,bacterial,,,SOAR_207965,18,v1,2026-07-20
Streptococcus oralis,Streptococcus oralis,bacterial,,,SOAR_207965,10,v1,2026-07-20
Streptococcus parasanguinis,Streptococcus parasanguinis,bacterial,,,SOAR_207965,4,v1,2026-07-20
Streptococcus pneumoniae,Streptococcus pneumoniae,bacterial,,,SOAR_201818+SOAR_201910+SOAR_207965,3415,v1,2026-07-20
Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae,bacterial,,,SOAR_207965,3,v1,2026-07-20
Streptococcus pyogenes,Streptococcus pyogenes,bacterial,,,SOAR_207965,1,v1,2026-07-20
Streptococcus salivarius,Streptococcus salivarius,bacterial,,,SOAR_207965,2,v1,2026-07-20
Streptococcus sanguinis,Streptococcus sanguinis,bacterial,,,SOAR_207965,1,v1,2026-07-20
Streptococcus sp,Streptococcus sp,bacterial,,,SOAR_207965,107,v1,2026-07-20
Unknown,unidentified_pathogen,bacterial,,explicit_unknown_string,SOAR_207965,220,v1,2026-07-20
